"","date","county","population","confirmed_cases","confirmed_deaths"
"70450","2020-02-01","San Francisco","870044","     1","   0"
"70392","2020-02-02","San Francisco","870044","     1","   0"
"70334","2020-02-03","San Francisco","870044","     1","   0"
"70276","2020-02-04","San Francisco","870044","     1","   0"
"70218","2020-02-05","San Francisco","870044","     1","   0"
"70160","2020-02-06","San Francisco","870044","     1","   0"
"70102","2020-02-07","San Francisco","870044","     1","   0"
"70044","2020-02-08","San Francisco","870044","     1","   0"
"69986","2020-02-09","San Francisco","870044","     1","   0"
"69928","2020-02-10","San Francisco","870044","     2","   0"
"69870","2020-02-11","San Francisco","870044","     2","   0"
"69812","2020-02-12","San Francisco","870044","     2","   0"
"69754","2020-02-13","San Francisco","870044","     2","   0"
"69696","2020-02-14","San Francisco","870044","     2","   0"
"69638","2020-02-15","San Francisco","870044","     2","   0"
"69580","2020-02-16","San Francisco","870044","     2","   0"
"69522","2020-02-17","San Francisco","870044","     2","   0"
"69464","2020-02-18","San Francisco","870044","     2","   0"
"69406","2020-02-19","San Francisco","870044","     2","   0"
"69348","2020-02-20","San Francisco","870044","     3","   0"
"69290","2020-02-21","San Francisco","870044","     3","   0"
"69232","2020-02-22","San Francisco","870044","     3","   0"
"69174","2020-02-23","San Francisco","870044","     5","   0"
"69116","2020-02-24","San Francisco","870044","     6","   0"
"69058","2020-02-25","San Francisco","870044","     7","   0"
"69000","2020-02-26","San Francisco","870044","     9","   0"
"68942","2020-02-27","San Francisco","870044","     9","   0"
"68884","2020-02-28","San Francisco","870044","    10","   0"
"68826","2020-02-29","San Francisco","870044","    12","   0"
"68768","2020-03-01","San Francisco","870044","    13","   0"
"68710","2020-03-02","San Francisco","870044","    17","   0"
"68652","2020-03-03","San Francisco","870044","    24","   0"
"68594","2020-03-04","San Francisco","870044","    26","   0"
"68536","2020-03-05","San Francisco","870044","    31","   0"
"68478","2020-03-06","San Francisco","870044","    41","   0"
"68420","2020-03-07","San Francisco","870044","    47","   0"
"68362","2020-03-08","San Francisco","870044","    53","   0"
"68304","2020-03-09","San Francisco","870044","    72","   0"
"68246","2020-03-10","San Francisco","870044","    94","   0"
"68188","2020-03-11","San Francisco","870044","   127","   0"
"68130","2020-03-12","San Francisco","870044","   159","   0"
"68072","2020-03-13","San Francisco","870044","   185","   0"
"68014","2020-03-14","San Francisco","870044","   200","   0"
"67956","2020-03-15","San Francisco","870044","   221","   0"
"67898","2020-03-16","San Francisco","870044","   279","   0"
"67840","2020-03-17","San Francisco","870044","   317","   1"
"67782","2020-03-18","San Francisco","870044","   344","   1"
"67724","2020-03-19","San Francisco","870044","   363","   1"
"67666","2020-03-20","San Francisco","870044","   399","   1"
"67608","2020-03-21","San Francisco","870044","   432","   1"
"67550","2020-03-22","San Francisco","870044","   468","   1"
"67492","2020-03-23","San Francisco","870044","   505","   1"
"67434","2020-03-24","San Francisco","870044","   534","   2"
"67376","2020-03-25","San Francisco","870044","   566","   2"
"67318","2020-03-26","San Francisco","870044","   607","   5"
"67260","2020-03-27","San Francisco","870044","   634","   7"
"67202","2020-03-28","San Francisco","870044","   659","   7"
"67144","2020-03-29","San Francisco","870044","   683","   7"
"67086","2020-03-30","San Francisco","870044","   727","   8"
"67028","2020-03-31","San Francisco","870044","   767","   9"
"66970","2020-04-01","San Francisco","870044","   802","  12"
"66912","2020-04-02","San Francisco","870044","   830","  12"
"66854","2020-04-03","San Francisco","870044","   856","  12"
"66796","2020-04-04","San Francisco","870044","   880","  12"
"66738","2020-04-05","San Francisco","870044","   918","  13"
"66680","2020-04-06","San Francisco","870044","   965","  14"
"66622","2020-04-07","San Francisco","870044","  1005","  15"
"66564","2020-04-08","San Francisco","870044","  1065","  16"
"66506","2020-04-09","San Francisco","870044","  1132","  16"
"66448","2020-04-10","San Francisco","870044","  1152","  18"
"66390","2020-04-11","San Francisco","870044","  1183","  19"
"66332","2020-04-12","San Francisco","870044","  1205","  19"
"66274","2020-04-13","San Francisco","870044","  1232","  20"
"66216","2020-04-14","San Francisco","870044","  1270","  23"
"66158","2020-04-15","San Francisco","870044","  1324","  24"
"66100","2020-04-16","San Francisco","870044","  1360","  25"
"66042","2020-04-17","San Francisco","870044","  1404","  25"
"65984","2020-04-18","San Francisco","870044","  1429","  26"
"65926","2020-04-19","San Francisco","870044","  1468","  27"
"65868","2020-04-20","San Francisco","870044","  1501","  27"
"65810","2020-04-21","San Francisco","870044","  1533","  27"
"65752","2020-04-22","San Francisco","870044","  1563","  28"
"65694","2020-04-23","San Francisco","870044","  1600","  29"
"65636","2020-04-24","San Francisco","870044","  1625","  29"
"65578","2020-04-25","San Francisco","870044","  1683","  30"
"65520","2020-04-26","San Francisco","870044","  1708","  30"
"65462","2020-04-27","San Francisco","870044","  1747","  30"
"65404","2020-04-28","San Francisco","870044","  1801","  31"
"65346","2020-04-29","San Francisco","870044","  1836","  34"
"65288","2020-04-30","San Francisco","870044","  1864","  35"
"65230","2020-05-01","San Francisco","870044","  1898","  36"
"65172","2020-05-02","San Francisco","870044","  1942","  36"
"65114","2020-05-03","San Francisco","870044","  1965","  36"
"65056","2020-05-04","San Francisco","870044","  1994","  36"
"64998","2020-05-05","San Francisco","870044","  2032","  36"
"64940","2020-05-06","San Francisco","870044","  2067","  36"
"64882","2020-05-07","San Francisco","870044","  2092","  36"
"64824","2020-05-08","San Francisco","870044","  2123","  39"
"64766","2020-05-09","San Francisco","870044","  2141","  41"
"64708","2020-05-10","San Francisco","870044","  2156","  41"
"64650","2020-05-11","San Francisco","870044","  2174","  41"
"64592","2020-05-12","San Francisco","870044","  2220","  42"
"64534","2020-05-13","San Francisco","870044","  2255","  42"
"64476","2020-05-14","San Francisco","870044","  2283","  42"
"64418","2020-05-15","San Francisco","870044","  2316","  43"
"64360","2020-05-16","San Francisco","870044","  2332","  43"
"64302","2020-05-17","San Francisco","870044","  2355","  45"
"64244","2020-05-18","San Francisco","870044","  2382","  45"
"64186","2020-05-19","San Francisco","870044","  2405","  45"
"64128","2020-05-20","San Francisco","870044","  2439","  45"
"64070","2020-05-21","San Francisco","870044","  2462","  45"
"64012","2020-05-22","San Francisco","870044","  2486","  45"
"63954","2020-05-23","San Francisco","870044","  2504","  45"
"63896","2020-05-24","San Francisco","870044","  2523","  45"
"63838","2020-05-25","San Francisco","870044","  2546","  45"
"63780","2020-05-26","San Francisco","870044","  2583","  46"
"63722","2020-05-27","San Francisco","870044","  2616","  46"
"63664","2020-05-28","San Francisco","870044","  2645","  46"
"63606","2020-05-29","San Francisco","870044","  2679","  47"
"63548","2020-05-30","San Francisco","870044","  2703","  47"
"63490","2020-05-31","San Francisco","870044","  2728","  48"
"63432","2020-06-01","San Francisco","870044","  2764","  48"
"63374","2020-06-02","San Francisco","870044","  2801","  48"
"63316","2020-06-03","San Francisco","870044","  2836","  48"
"63258","2020-06-04","San Francisco","870044","  2867","  48"
"63200","2020-06-05","San Francisco","870044","  2900","  49"
