"","date","county","population","confirmed_cases","confirmed_deaths"
"70453","2020-02-01","San Mateo","765935","     0","  0"
"70395","2020-02-02","San Mateo","765935","     0","  0"
"70337","2020-02-03","San Mateo","765935","     0","  0"
"70279","2020-02-04","San Mateo","765935","     0","  0"
"70221","2020-02-05","San Mateo","765935","     1","  0"
"70163","2020-02-06","San Mateo","765935","     1","  0"
"70105","2020-02-07","San Mateo","765935","     1","  0"
"70047","2020-02-08","San Mateo","765935","     2","  0"
"69989","2020-02-09","San Mateo","765935","     2","  0"
"69931","2020-02-10","San Mateo","765935","     2","  0"
"69873","2020-02-11","San Mateo","765935","     2","  0"
"69815","2020-02-12","San Mateo","765935","     2","  0"
"69757","2020-02-13","San Mateo","765935","     2","  0"
"69699","2020-02-14","San Mateo","765935","     3","  0"
"69641","2020-02-15","San Mateo","765935","     4","  0"
"69583","2020-02-16","San Mateo","765935","     4","  0"
"69525","2020-02-17","San Mateo","765935","     5","  0"
"69467","2020-02-18","San Mateo","765935","     5","  0"
"69409","2020-02-19","San Mateo","765935","     6","  0"
"69351","2020-02-20","San Mateo","765935","     7","  0"
"69293","2020-02-21","San Mateo","765935","     8","  0"
"69235","2020-02-22","San Mateo","765935","     8","  0"
"69177","2020-02-23","San Mateo","765935","    10","  0"
"69119","2020-02-24","San Mateo","765935","    13","  0"
"69061","2020-02-25","San Mateo","765935","    17","  0"
"69003","2020-02-26","San Mateo","765935","    18","  0"
"68945","2020-02-27","San Mateo","765935","    20","  0"
"68887","2020-02-28","San Mateo","765935","    24","  0"
"68829","2020-02-29","San Mateo","765935","    29","  0"
"68771","2020-03-01","San Mateo","765935","    36","  0"
"68713","2020-03-02","San Mateo","765935","    44","  0"
"68655","2020-03-03","San Mateo","765935","    53","  0"
"68597","2020-03-04","San Mateo","765935","    60","  0"
"68539","2020-03-05","San Mateo","765935","    65","  0"
"68481","2020-03-06","San Mateo","765935","    78","  0"
"68423","2020-03-07","San Mateo","765935","    86","  0"
"68365","2020-03-08","San Mateo","765935","    96","  0"
"68307","2020-03-09","San Mateo","765935","   109","  0"
"68249","2020-03-10","San Mateo","765935","   123","  0"
"68191","2020-03-11","San Mateo","765935","   139","  0"
"68133","2020-03-12","San Mateo","765935","   157","  0"
"68075","2020-03-13","San Mateo","765935","   191","  0"
"68017","2020-03-14","San Mateo","765935","   212","  1"
"67959","2020-03-15","San Mateo","765935","   235","  1"
"67901","2020-03-16","San Mateo","765935","   269","  1"
"67843","2020-03-17","San Mateo","765935","   308","  1"
"67785","2020-03-18","San Mateo","765935","   340","  1"
"67727","2020-03-19","San Mateo","765935","   361","  1"
"67669","2020-03-20","San Mateo","765935","   396","  1"
"67611","2020-03-21","San Mateo","765935","   426","  1"
"67553","2020-03-22","San Mateo","765935","   464","  1"
"67495","2020-03-23","San Mateo","765935","   497","  4"
"67437","2020-03-24","San Mateo","765935","   536","  7"
"67379","2020-03-25","San Mateo","765935","   577","  8"
"67321","2020-03-26","San Mateo","765935","   612","  9"
"67263","2020-03-27","San Mateo","765935","   646"," 11"
"67205","2020-03-28","San Mateo","765935","   672"," 11"
"67147","2020-03-29","San Mateo","765935","   692"," 12"
"67089","2020-03-30","San Mateo","765935","   717"," 14"
"67031","2020-03-31","San Mateo","765935","   742"," 15"
"66973","2020-04-01","San Mateo","765935","   761"," 16"
"66915","2020-04-02","San Mateo","765935","   779"," 19"
"66857","2020-04-03","San Mateo","765935","   800"," 22"
"66799","2020-04-04","San Mateo","765935","   817"," 22"
"66741","2020-04-05","San Mateo","765935","   829"," 24"
"66683","2020-04-06","San Mateo","765935","   849"," 25"
"66625","2020-04-07","San Mateo","765935","   867"," 28"
"66567","2020-04-08","San Mateo","765935","   888"," 29"
"66509","2020-04-09","San Mateo","765935","   903"," 29"
"66451","2020-04-10","San Mateo","765935","   919"," 30"
"66393","2020-04-11","San Mateo","765935","   935"," 31"
"66335","2020-04-12","San Mateo","765935","   947"," 33"
"66277","2020-04-13","San Mateo","765935","   973"," 34"
"66219","2020-04-14","San Mateo","765935","  1013"," 36"
"66161","2020-04-15","San Mateo","765935","  1047"," 36"
"66103","2020-04-16","San Mateo","765935","  1096"," 40"
"66045","2020-04-17","San Mateo","765935","  1125"," 40"
"65987","2020-04-18","San Mateo","765935","  1141"," 41"
"65929","2020-04-19","San Mateo","765935","  1163"," 42"
"65871","2020-04-20","San Mateo","765935","  1199"," 42"
"65813","2020-04-21","San Mateo","765935","  1222"," 43"
"65755","2020-04-22","San Mateo","765935","  1268"," 43"
"65697","2020-04-23","San Mateo","765935","  1291"," 48"
"65639","2020-04-24","San Mateo","765935","  1330"," 53"
"65581","2020-04-25","San Mateo","765935","  1353"," 55"
"65523","2020-04-26","San Mateo","765935","  1371"," 55"
"65465","2020-04-27","San Mateo","765935","  1397"," 55"
"65407","2020-04-28","San Mateo","765935","  1419"," 56"
"65349","2020-04-29","San Mateo","765935","  1432"," 58"
"65291","2020-04-30","San Mateo","765935","  1458"," 58"
"65233","2020-05-01","San Mateo","765935","  1488"," 59"
"65175","2020-05-02","San Mateo","765935","  1510"," 63"
