"","date","county","population","confirmed_cases","confirmed_deaths"
"70455","2020-02-01","Santa Clara","1922200","     2","   0"
"70397","2020-02-02","Santa Clara","1922200","     2","   0"
"70339","2020-02-03","Santa Clara","1922200","     2","   0"
"70281","2020-02-04","Santa Clara","1922200","     2","   0"
"70223","2020-02-05","Santa Clara","1922200","     2","   0"
"70165","2020-02-06","Santa Clara","1922200","     4","   1"
"70107","2020-02-07","Santa Clara","1922200","     4","   1"
"70049","2020-02-08","Santa Clara","1922200","     4","   1"
"69991","2020-02-09","Santa Clara","1922200","     4","   1"
"69933","2020-02-10","Santa Clara","1922200","     5","   1"
"69875","2020-02-11","Santa Clara","1922200","     5","   1"
"69817","2020-02-12","Santa Clara","1922200","     6","   1"
"69759","2020-02-13","Santa Clara","1922200","     7","   1"
"69701","2020-02-14","Santa Clara","1922200","     8","   1"
"69643","2020-02-15","Santa Clara","1922200","    10","   1"
"69585","2020-02-16","Santa Clara","1922200","    10","   1"
"69527","2020-02-17","Santa Clara","1922200","    12","   2"
"69469","2020-02-18","Santa Clara","1922200","    14","   2"
"69411","2020-02-19","Santa Clara","1922200","    15","   2"
"69353","2020-02-20","Santa Clara","1922200","    17","   2"
"69295","2020-02-21","Santa Clara","1922200","    21","   2"
"69237","2020-02-22","Santa Clara","1922200","    23","   2"
"69179","2020-02-23","Santa Clara","1922200","    26","   2"
"69121","2020-02-24","Santa Clara","1922200","    38","   2"
"69063","2020-02-25","Santa Clara","1922200","    40","   2"
"69005","2020-02-26","Santa Clara","1922200","    50","   2"
"68947","2020-02-27","Santa Clara","1922200","    59","   2"
"68889","2020-02-28","Santa Clara","1922200","    70","   2"
"68831","2020-02-29","Santa Clara","1922200","    75","   2"
"68773","2020-03-01","Santa Clara","1922200","    97","   2"
"68715","2020-03-02","Santa Clara","1922200","   110","   2"
"68657","2020-03-03","Santa Clara","1922200","   132","   2"
"68599","2020-03-04","Santa Clara","1922200","   147","   2"
"68541","2020-03-05","Santa Clara","1922200","   164","   2"
"68483","2020-03-06","Santa Clara","1922200","   188","   3"
"68425","2020-03-07","Santa Clara","1922200","   206","   3"
"68367","2020-03-08","Santa Clara","1922200","   236","   3"
"68309","2020-03-09","Santa Clara","1922200","   278","   5"
"68251","2020-03-10","Santa Clara","1922200","   322","   5"
"68193","2020-03-11","Santa Clara","1922200","   371","   5"
"68135","2020-03-12","Santa Clara","1922200","   412","   5"
"68077","2020-03-13","Santa Clara","1922200","   470","   6"
"68019","2020-03-14","Santa Clara","1922200","   532","   6"
"67961","2020-03-15","Santa Clara","1922200","   587","   7"
"67903","2020-03-16","Santa Clara","1922200","   659","   7"
"67845","2020-03-17","Santa Clara","1922200","   739","  10"
"67787","2020-03-18","Santa Clara","1922200","   797","  10"
"67729","2020-03-19","Santa Clara","1922200","   848","  10"
"67671","2020-03-20","Santa Clara","1922200","   915","  12"
"67613","2020-03-21","Santa Clara","1922200","   951","  14"
"67555","2020-03-22","Santa Clara","1922200","  1013","  16"
"67497","2020-03-23","Santa Clara","1922200","  1077","  21"
"67439","2020-03-24","Santa Clara","1922200","  1126","  22"
"67381","2020-03-25","Santa Clara","1922200","  1195","  29"
"67323","2020-03-26","Santa Clara","1922200","  1239","  29"
"67265","2020-03-27","Santa Clara","1922200","  1284","  30"
"67207","2020-03-28","Santa Clara","1922200","  1322","  32"
"67149","2020-03-29","Santa Clara","1922200","  1341","  34"
"67091","2020-03-30","Santa Clara","1922200","  1398","  36"
"67033","2020-03-31","Santa Clara","1922200","  1429","  37"
"66975","2020-04-01","Santa Clara","1922200","  1479","  40"
"66917","2020-04-02","Santa Clara","1922200","  1521","  42"
"66859","2020-04-03","Santa Clara","1922200","  1572","  43"
"66801","2020-04-04","Santa Clara","1922200","  1608","  45"
"66743","2020-04-05","Santa Clara","1922200","  1660","  47"
"66685","2020-04-06","Santa Clara","1922200","  1707","  48"
"66627","2020-04-07","Santa Clara","1922200","  1760","  49"
"66569","2020-04-08","Santa Clara","1922200","  1829","  51"
"66511","2020-04-09","Santa Clara","1922200","  1874","  55"
"66453","2020-04-10","Santa Clara","1922200","  1944","  56"
"66395","2020-04-11","Santa Clara","1922200","  1996","  61"
"66337","2020-04-12","Santa Clara","1922200","  2055","  67"
"66279","2020-04-13","Santa Clara","1922200","  2083","  68"
"66221","2020-04-14","Santa Clara","1922200","  2129","  70"
"66163","2020-04-15","Santa Clara","1922200","  2162","  74"
"66105","2020-04-16","Santa Clara","1922200","  2201","  77"
"66047","2020-04-17","Santa Clara","1922200","  2238","  82"
"65989","2020-04-18","Santa Clara","1922200","  2274","  86"
"65931","2020-04-19","Santa Clara","1922200","  2307","  88"
"65873","2020-04-20","Santa Clara","1922200","  2352","  93"
"65815","2020-04-21","Santa Clara","1922200","  2383","  96"
"65757","2020-04-22","Santa Clara","1922200","  2433","  99"
"65699","2020-04-23","Santa Clara","1922200","  2449"," 100"
"65641","2020-04-24","Santa Clara","1922200","  2484"," 101"
"65583","2020-04-25","Santa Clara","1922200","  2526"," 102"
"65525","2020-04-26","Santa Clara","1922200","  2548"," 105"
"65467","2020-04-27","Santa Clara","1922200","  2571"," 107"
"65409","2020-04-28","Santa Clara","1922200","  2596"," 109"
"65351","2020-04-29","Santa Clara","1922200","  2630"," 110"
"65293","2020-04-30","Santa Clara","1922200","  2657"," 113"
"65235","2020-05-01","Santa Clara","1922200","  2697"," 115"
"65177","2020-05-02","Santa Clara","1922200","  2709"," 118"
"65119","2020-05-03","Santa Clara","1922200","  2719"," 120"
"65061","2020-05-04","Santa Clara","1922200","  2756"," 124"
"65003","2020-05-05","Santa Clara","1922200","  2771"," 124"
"64945","2020-05-06","Santa Clara","1922200","  2817"," 126"
"64887","2020-05-07","Santa Clara","1922200","  2834"," 126"
"64829","2020-05-08","Santa Clara","1922200","  2872"," 127"
"64771","2020-05-09","Santa Clara","1922200","  2895"," 128"
"64713","2020-05-10","Santa Clara","1922200","  2909"," 128"
"64655","2020-05-11","Santa Clara","1922200","  2936"," 130"
"64597","2020-05-12","Santa Clara","1922200","  2953"," 131"
"64539","2020-05-13","Santa Clara","1922200","  2984"," 132"
"64481","2020-05-14","Santa Clara","1922200","  3004"," 133"
"64423","2020-05-15","Santa Clara","1922200","  3027"," 134"
"64365","2020-05-16","Santa Clara","1922200","  3070"," 135"
"64307","2020-05-17","Santa Clara","1922200","  3088"," 135"
"64249","2020-05-18","Santa Clara","1922200","  3126"," 135"
"64191","2020-05-19","Santa Clara","1922200","  3159"," 135"
"64133","2020-05-20","Santa Clara","1922200","  3209"," 135"
"64075","2020-05-21","Santa Clara","1922200","  3230"," 136"
"64017","2020-05-22","Santa Clara","1922200","  3252"," 136"
"63959","2020-05-23","Santa Clara","1922200","  3272"," 136"
"63901","2020-05-24","Santa Clara","1922200","  3286"," 136"
"63843","2020-05-25","Santa Clara","1922200","  3306"," 137"
"63785","2020-05-26","Santa Clara","1922200","  3339"," 137"
"63727","2020-05-27","Santa Clara","1922200","  3371"," 137"
"63669","2020-05-28","Santa Clara","1922200","  3404"," 139"
"63611","2020-05-29","Santa Clara","1922200","  3444"," 139"
"63553","2020-05-30","Santa Clara","1922200","  3472"," 139"
"63495","2020-05-31","Santa Clara","1922200","  3488"," 141"
"63437","2020-06-01","Santa Clara","1922200","  3532"," 142"
"63379","2020-06-02","Santa Clara","1922200","  3570"," 143"
"63321","2020-06-03","Santa Clara","1922200","  3620"," 143"
"63263","2020-06-04","Santa Clara","1922200","  3662"," 143"
"63205","2020-06-05","Santa Clara","1922200","  3697"," 144"
"63147","2020-06-06","Santa Clara","1922200","  3732"," 144"
"63089","2020-06-07","Santa Clara","1922200","  3773"," 144"
"63031","2020-06-08","Santa Clara","1922200","  3825"," 144"
"62973","2020-06-09","Santa Clara","1922200","  3871"," 145"
"62915","2020-06-10","Santa Clara","1922200","  3939"," 146"
"62857","2020-06-11","Santa Clara","1922200","  3990"," 146"
"62799","2020-06-12","Santa Clara","1922200","  4057"," 147"
"62741","2020-06-13","Santa Clara","1922200","  4101"," 147"
"62683","2020-06-14","Santa Clara","1922200","  4144"," 147"
"62625","2020-06-15","Santa Clara","1922200","  4239"," 147"
"62567","2020-06-16","Santa Clara","1922200","  4339"," 147"
"62509","2020-06-17","Santa Clara","1922200","  4450"," 147"
"62451","2020-06-18","Santa Clara","1922200","  4543"," 147"
"62393","2020-06-19","Santa Clara","1922200","  4646"," 148"
"62335","2020-06-20","Santa Clara","1922200","  4719"," 149"
"62277","2020-06-21","Santa Clara","1922200","  4793"," 149"
"62219","2020-06-22","Santa Clara","1922200","  4930"," 149"
"62161","2020-06-23","Santa Clara","1922200","  5092"," 151"
"62103","2020-06-24","Santa Clara","1922200","  5237"," 152"
"62045","2020-06-25","Santa Clara","1922200","  5368"," 153"
"61987","2020-06-26","Santa Clara","1922200","  5518"," 153"
"61929","2020-06-27","Santa Clara","1922200","  5618"," 153"
"61871","2020-06-28","Santa Clara","1922200","  5724"," 153"
"61813","2020-06-29","Santa Clara","1922200","  5886"," 155"
