"Date","Total_cases","New_cases","New_cases_7davg"
"2020-01-27",1,1,NA
"2020-01-28",2,1,NA
"2020-01-29",3,1,NA
"2020-01-30",4,1,NA
"2020-01-31",6,2,NA
"2020-02-01",6,0,NA
"2020-02-02",6,0,0.857142857
"2020-02-03",6,0,0.714285714
"2020-02-04",6,0,0.571428571
"2020-02-05",6,0,0.428571429
"2020-02-06",6,0,0.285714286
"2020-02-07",6,0,0
"2020-02-08",6,0,0
"2020-02-09",6,0,0
"2020-02-10",6,0,0
"2020-02-11",6,0,0
"2020-02-12",6,0,0
"2020-02-13",6,0,0
"2020-02-14",6,0,0
"2020-02-15",6,0,0
"2020-02-16",6,0,0
"2020-02-17",7,1,0.142857143
"2020-02-18",7,0,0.142857143
"2020-02-19",7,0,0.142857143
"2020-02-20",8,1,0.285714286
"2020-02-21",8,0,0.285714286
"2020-02-22",8,0,0.285714286
"2020-02-23",8,0,0.285714286
"2020-02-24",8,0,0.142857143
"2020-02-25",8,0,0.142857143
"2020-02-26",10,2,0.428571429
"2020-02-27",10,0,0.285714286
"2020-02-28",12,2,0.571428571
"2020-02-29",16,4,1.142857143
"2020-03-01",16,0,1.142857143
"2020-03-02",21,5,1.857142857
"2020-03-03",23,2,2.142857143
"2020-03-04",28,5,2.571428571
"2020-03-05",35,7,3.571428571
"2020-03-06",45,10,4.714285714
"2020-03-07",53,8,5.285714286
"2020-03-08",57,4,5.857142857
"2020-03-09",74,17,7.571428571
"2020-03-10",89,15,9.428571429
"2020-03-11",115,26,12.42857143
"2020-03-12",138,23,14.71428571
"2020-03-13",186,48,20.14285714
"2020-03-14",229,43,25.14285714
"2020-03-15",261,32,29.14285714
"2020-03-16",298,37,32
"2020-03-17",349,51,37.14285714
"2020-03-18",391,42,39.42857143
"2020-03-19",434,43,42.28571429
"2020-03-20",497,63,44.42857143
"2020-03-21",533,36,43.42857143
"2020-03-22",575,42,44.85714286
"2020-03-23",653,78,50.71428571
"2020-03-24",723,70,53.42857143
"2020-03-25",802,79,58.71428571
"2020-03-26",875,73,63
"2020-03-27",941,66,63.42857143
"2020-03-28",981,40,64
"2020-03-29",1006,25,61.57142857
"2020-03-30",1080,74,61
"2020-03-31",1132,52,58.42857143
"2020-04-01",1182,50,54.28571429
"2020-04-02",1234,52,51.28571429
"2020-04-03",1277,43,48
"2020-04-04",1309,32,46.85714286
"2020-04-05",1351,42,49.28571429
"2020-04-06",1404,53,46.28571429
"2020-04-07",1445,41,44.71428571
"2020-04-08",1515,70,47.57142857
"2020-04-09",1583,68,49.85714286
"2020-04-10",1664,81,55.28571429
"2020-04-11",1705,41,56.57142857
"2020-04-12",1729,24,54
"2020-04-13",1769,40,52.14285714
"2020-04-14",1813,44,52.57142857
"2020-04-15",1844,31,47
"2020-04-16",1870,26,41
"2020-04-17",1910,40,35.14285714
"2020-04-18",1925,15,31.42857143
"2020-04-19",1939,14,30
"2020-04-20",1964,25,27.85714286
"2020-04-21",1990,26,25.28571429
"2020-04-22",2039,49,27.85714286
"2020-04-23",2059,20,27
"2020-04-24",2088,29,25.42857143
"2020-04-25",2102,14,25.28571429
"2020-04-26",2113,11,24.85714286
"2020-04-27",2137,24,24.71428571
"2020-04-28",2158,21,24
"2020-04-29",2186,28,21
"2020-04-30",2197,11,19.71428571
"2020-05-01",2219,22,18.71428571
"2020-05-02",2231,12,18.42857143
"2020-05-03",2239,8,18
"2020-05-04",2258,19,17.28571429
"2020-05-05",2271,13,16.14285714
"2020-05-06",2298,27,16
"2020-05-07",2311,13,16.28571429
"2020-05-08",2335,24,16.57142857
"2020-05-09",2346,11,16.42857143
"2020-05-10",2349,3,15.71428571
"2020-05-11",2369,20,15.85714286
"2020-05-12",2384,15,16.14285714
"2020-05-13",2404,20,15.14285714
"2020-05-14",2428,24,16.71428571
"2020-05-15",2443,15,15.42857143
"2020-05-16",2458,15,16
"2020-05-17",2465,7,16.57142857
"2020-05-18",2504,39,19.28571429
"2020-05-19",2548,44,23.42857143
"2020-05-20",2584,36,25.71428571
"2020-05-21",2605,21,25.28571429
"2020-05-22",2631,26,26.85714286
"2020-05-23",2648,17,27.14285714
"2020-05-24",2650,2,26.42857143
"2020-05-25",2657,7,21.85714286
"2020-05-26",2687,30,19.85714286
"2020-05-27",2726,39,20.28571429
"2020-05-28",2749,23,20.57142857
"2020-05-29",2793,44,23.14285714
"2020-05-30",2809,16,23
"2020-05-31",2819,10,24.14285714
"2020-06-01",2853,34,28
"2020-06-02",2878,25,27.28571429
"2020-06-03",2919,41,27.57142857
"2020-06-04",2955,36,29.42857143
"2020-06-05",2992,37,28.42857143
"2020-06-06",3005,13,28
"2020-06-07",3023,18,29.14285714
"2020-06-08",3062,39,29.85714286
"2020-06-09",3108,46,32.85714286
"2020-06-10",3171,63,36
"2020-06-11",3221,50,38
"2020-06-12",3279,58,41
"2020-06-13",3300,21,42.14285714
"2020-06-14",3313,13,41.42857143
"2020-06-15",3375,62,44.71428571
"2020-06-16",3469,94,51.57142857
"2020-06-17",3560,91,55.57142857
"2020-06-18",3662,102,63
"2020-06-19",3773,111,70.57142857
"2020-06-20",3823,50,74.71428571
"2020-06-21",3860,37,78.14285714
"2020-06-22",3964,104,84.14285714
"2020-06-23",4153,189,97.71428571
"2020-06-24",4299,146,105.5714286
"2020-06-25",4432,133,110
"2020-06-26",4569,137,113.7142857
"2020-06-27",4680,111,122.4285714
"2020-06-28",4740,60,125.7142857
"2020-06-29",4884,144,131.4285714
"2020-06-30",5073,189,131.4285714
"2020-07-01",5258,185,137
"2020-07-02",5442,184,144.2857143
"2020-07-03",5520,78,135.8571429
"2020-07-04",5564,44,126.2857143
"2020-07-05",5659,95,131.2857143
"2020-07-06",5912,253,146.8571429
"2020-07-07",6202,290,161.2857143
"2020-07-08",6485,283,175.2857143
"2020-07-09",6767,282,189.2857143
"2020-07-10",7015,248,213.5714286
"2020-07-11",7196,181,233.1428571
"2020-07-12",7315,119,236.5714286
"2020-07-13",7521,206,229.8571429
"2020-07-14",7874,353,238.8571429
"2020-07-15",8255,381,252.8571429
"2020-07-16",8594,339,261
"2020-07-17",8889,295,267.7142857
"2020-07-18",9061,172,266.4285714
"2020-07-19",9149,88,262
"2020-07-20",9367,218,263.7142857
"2020-07-21",9679,312,257.8571429
"2020-07-22",9978,299,246.1428571
"2020-07-23",10259,281,237.8571429
"2020-07-24",10505,246,230.8571429
"2020-07-25",10631,126,224.2857143
"2020-07-26",10717,86,224
"2020-07-27",10893,176,218
"2020-07-28",11191,298,216
"2020-07-29",11462,271,212
"2020-07-30",11702,240,206.1428571
"2020-07-31",11961,259,208
"2020-08-01",12134,173,214.7142857
"2020-08-02",12218,84,214.4285714
"2020-08-03",12388,170,213.5714286
"2020-08-04",12690,302,214.1428571
"2020-08-05",13023,333,223
"2020-08-06",13269,246,223.8571429
"2020-08-07",13527,258,223.7142857
"2020-08-08",13733,206,228.4285714
"2020-08-09",13841,108,231.8571429
"2020-08-10",14062,221,239.1428571
"2020-08-11",14391,329,243
"2020-08-12",14675,284,236
"2020-08-13",14917,242,235.4285714
"2020-08-14",15170,253,234.7142857
"2020-08-15",15326,156,227.5714286
"2020-08-16",15397,71,222.2857143
"2020-08-17",15582,185,217.1428571
"2020-08-18",15850,268,208.4285714
"2020-08-19",16022,172,192.4285714
"2020-08-20",16184,162,181
"2020-08-21",16350,166,168.5714286
"2020-08-22",16487,137,165.8571429
"2020-08-23",16547,60,164.2857143
"2020-08-24",16701,154,159.8571429
"2020-08-25",16988,287,162.5714286
"2020-08-26",17216,228,170.5714286
"2020-08-27",17414,198,175.7142857
"2020-08-28",17604,190,179.1428571
"2020-08-29",17745,141,179.7142857
"2020-08-30",17801,56,179.1428571
"2020-08-31",17949,148,178.2857143
"2020-09-01",18183,234,170.7142857
"2020-09-02",18414,231,171.1428571
"2020-09-03",18582,168,166.8571429
"2020-09-04",18759,177,165
"2020-09-05",18849,90,157.7142857
"2020-09-06",18894,45,156.1428571
"2020-09-07",18935,41,140.8571429
"2020-09-08",19127,192,134.8571429
"2020-09-09",19334,207,131.4285714
"2020-09-10",19478,144,128
"2020-09-11",19610,132,121.5714286
"2020-09-12",19693,83,120.5714286
"2020-09-13",19726,33,118.8571429
"2020-09-14",19851,125,130.8571429
"2020-09-15",20077,226,135.7142857
"2020-09-16",20227,150,127.5714286
"2020-09-17",20403,176,132.1428571
"2020-09-18",20535,132,132.1428571
"2020-09-19",20606,71,130.4285714
