"collection_date","N_Gene_gc_g_dry_weight"
2020-11-30,76086.7166283525
2020-12-01,214016.096888889
2020-12-02,174197.358222222
2020-12-03,291150.472430108
2020-12-04,221464.352820513
2020-12-05,304567.233488372
2020-12-06,265923.309292308
2020-12-07,221861.252807512
2020-12-08,164680.677714286
2020-12-09,264675.202471545
2020-12-10,329348.491437751
2020-12-11,297260.747862928
2020-12-12,260696.237737374
2020-12-13,256761.748983607
2020-12-14,331341.099099099
2020-12-15,311118.503333333
2020-12-16,276731.608888889
2020-12-17,441909.807962529
2020-12-18,560116.632840183
2020-12-19,258847.971126437
2020-12-20,1080838.17454545
2020-12-21,366017.983581699
2020-12-22,318701.039149758
2020-12-23,345604.419666667
2020-12-24,272545.244054795
2020-12-25,330975.433931035
2020-12-26,361194.473682051
2020-12-27,177808.902874074
2020-12-28,481464.436906667
2020-12-29,449570.901735849
2020-12-30,367016.726339623
2020-12-31,228908.697733333
2021-01-01,358276.484562801
2021-01-02,371689.02705833
2021-01-03,287181.933666667
2021-01-04,156174.739201864
2021-01-05,570646.401607629
2021-01-06,275814.166284883
2021-01-07,184808.558887906
2021-01-08,191053.208850679
2021-01-09,296193.580542125
2021-01-10,2406337.58296812
2021-01-11,183317.304233422
2021-01-12,467239.961170014
2021-01-13,82669.2183812459
2021-01-14,242833.715496641
2021-01-15,189374.082031746
2021-01-16,411044.492559919
2021-01-17,0
2021-01-18,119608.373723478
2021-01-19,120997.500257427
2021-01-20,184992.624347826
2021-01-21,126823.016091954
2021-01-22,152494.223188406
2021-01-23,205291.299262745
2021-01-24,200720.758141414
2021-01-25,89375.8627047619
2021-01-26,180744.738461538
2021-01-27,247573.809355932
2021-01-28,135185.960830601
2021-01-29,231175.426408356
2021-01-30,98208.118247115
2021-01-31,231095.160967038
2021-02-01,57954.309912632
2021-02-02,46328.708103725
2021-02-03,72518.5580369903
2021-02-04,204421.541818376
2021-02-05,125018.310546875
2021-02-06,116483.358391227
2021-02-07,29825.023576325
2021-02-08,58821.9108398626
2021-02-09,67963.1418996044
2021-02-10,140549.875074817
2021-02-11,108473.116891426
2021-02-12,138627.491300069
2021-02-13,227971.076965332
2021-02-14,59064.9036444445
2021-02-15,56551.9188389634
2021-02-16,29548.1704530261
2021-02-17,51609.2029333333
2021-02-18,49820.7392710032
2021-02-19,101486.692241569
2021-02-20,57786.7437292027
2021-02-21,27520.4312438819
2021-02-22,25817.7076067243
2021-02-23,34343.7383049413
2021-02-24,29983.7743851852
2021-02-25,40157.1518335587
2021-02-26,87144.9638815487
2021-02-27,23971.758948432
2021-02-28,27474.2494
2021-03-01,27189.2421709822
2021-03-02,36203.7788915663
2021-03-03,38817.2883809524
2021-03-04,26077.4872484848
2021-03-05,33242.3949565217
2021-03-06,19411.3098142076
2021-03-07,76696.8143662447
2021-03-08,41291.3183863248
2021-03-09,48646.7709948718
2021-03-10,16213.4892969697
2021-03-11,19783.0944675105
2021-03-12,45228.8546356589
2021-03-13,39800.2600041026
2021-03-14,8494.75402989899
2021-03-15,4893.26371128889
2021-03-16,11525.8037581395
2021-03-17,14219.0485076305
2021-03-18,15935.4664087912
2021-03-19,25307.612695935
2021-03-20,32120.6523908676
2021-03-21,28308.0471919192
2021-03-22,15478.8012769953
2021-03-23,6695.7488656044
2021-03-24,29415.2191459916
2021-03-25,17954.9588148148
2021-03-26,13424.385477037
2021-03-27,13638.7416289524
2021-03-28,13133.3669026667
2021-03-29,6643.5527808
2021-03-30,6594.08408507936
2021-03-31,14244.5832310078
2021-04-01,63114.4612068729
2021-04-02,5597.51407567568
2021-04-03,15894.2292779221
2021-04-04,19829.6101831111
2021-04-05,12765.4954634343
2021-04-06,22227.5398575342
2021-04-07,11076.0207918987
2021-04-08,26310.5813477477
2021-04-09,20659.1505740351
2021-04-10,17098.4676070175
2021-04-11,11586.6642592248
2021-04-12,18607.8011387387
2021-04-13,19854.3115851852
2021-04-14,20930.0145822785
2021-04-15,28824.9618444444
2021-04-16,19009.9628505747
2021-04-17,19396.2719703704
2021-04-18,6450.80964935323
2021-04-19,18136.9257304965
2021-04-20,21151.4684918519
2021-04-21,4667.69536336259
2021-04-22,10190.4951646753
2021-04-23,5834.76695656218
2021-04-24,36570.3370814815
2021-04-25,12490.0039237131
2021-04-26,5451.4186727619
2021-04-27,11007.0179870968
2021-04-28,2131.92200121212
2021-04-29,9595.17591864407
2021-04-30,15416.2387368421
2021-05-01,4479.70073568627
2021-05-02,5280.52301276596
2021-05-03,3478.1520569697
2021-05-04,0
2021-05-05,2880.63893463415
2021-05-06,3902.14019413333
2021-05-07,5147.3085426087
2021-05-08,6313.58350333333
2021-05-09,6405.73153866667
2021-05-10,2491.08249240924
2021-05-11,6229.18413977011
2021-05-12,3239.48065484058
2021-05-13,6940.533297277
2021-05-14,12692.8650271605
2021-05-15,4372.26821558686
2021-05-16,7067.95045101449
2021-05-17,0
2021-05-18,6278.85792
2021-05-19,2088.68447636364
2021-05-20,0
2021-05-21,2513.080836
2021-05-22,3104.24566317949
2021-05-23,4727.77488484849
2021-05-24,0
2021-05-25,5987.49187232323
2021-05-26,0
2021-05-27,5852.95219747748
2021-05-28,2174.36664888889
2021-05-29,4221.85877187215
2021-05-30,9895.8891980789
2021-05-31,5545.26845614035
2021-06-01,2666.73080263736
2021-06-02,7600.724256
2021-06-03,4353.95811605634
2021-06-04,3985.31225011494
2021-06-05,2265.09620148148
2021-06-06,6635.97546790698
2021-06-07,4026.73872369637
2021-06-08,0
2021-06-09,9517.7507722449
2021-06-10,8226.76100422764
2021-06-11,8079.39635437037
2021-06-12,8107.09291537415
2021-06-13,0
2021-06-14,4352.81291026217
2021-06-15,0
2021-06-16,2538.04352
2021-06-17,3510.45582702703
2021-06-18,5776.63192634921
2021-06-19,7604.2701462069
2021-06-20,5723.63659666667
2021-06-21,3743.41287696203
2021-06-22,7177.78051661691
2021-06-23,6332.50358634146
2021-06-24,7528.24314835088
2021-06-25,22253.40208
2021-06-26,17565.24444
2021-06-27,19140.5544322344
2021-06-28,10260.1563719298
2021-06-29,7380.57551203065
2021-06-30,9677.25757425288
2021-07-01,7006.59919157895
2021-07-02,19863.8399466667
2021-07-03,15613.1183580524
2021-07-04,4547.79640615385
2021-07-05,8048.90712106667
2021-07-06,13936.1536526749
2021-07-07,9156.54397090909
2021-07-08,8998.66768172043
2021-07-09,10609.5153011255
2021-07-10,15317.3555933333
2021-07-11,32670.3911771429
2021-07-12,69650.1214843373
2021-07-13,46479.7928272109
2021-07-14,43055.0012882051
2021-07-15,22849.0228977778
2021-07-16,32457.6002871795
2021-07-17,43920.5991191011
2021-07-18,102672.0504
2021-07-19,23650.4735632184
2021-07-20,25474.1685194805
2021-07-21,21380.2328313726
2021-07-22,56361.1312676056
2021-07-23,57504.9420166667
2021-07-24,63063.5250816479
2021-07-25,54856.0383135135
2021-07-26,43927.5062210046
2021-07-27,130596.849644444
2021-07-28,147126.297456716
2021-07-29,106021.292418107
2021-07-30,99519.8241297297
2021-07-31,88246.0516226415
2021-08-01,112695.140215054
2021-08-02,152174.79286385
2021-08-03,181490.580296296
2021-08-04,170673.636139303
2021-08-05,94080.9471627907
2021-08-06,53013.4209953052
2021-08-07,126275.680182857
2021-08-08,60764.1847111111
2021-08-09,126506.912761905
2021-08-10,240880.821146199
2021-08-11,64089.8350691824
2021-08-12,113061.541596537
2021-08-13,195057.41421097
2021-08-14,130534.126642424
2021-08-15,131919.676552657
2021-08-16,38428.0935262411
2021-08-17,136491.704888889
2021-08-18,319645.145904762
2021-08-19,364026.282958904
2021-08-20,208364.414424242
2021-08-21,154954.602020202
2021-08-22,174731.421613559
2021-08-23,302697.064182648
2021-08-24,263358.343267399
2021-08-25,233706.393742222
2021-08-26,133248.064899598
2021-08-27,233448.062990991
2021-08-28,131078.084289855
2021-08-29,118947.698357895
2021-08-30,74565.0826666667
2021-08-31,77574.6000826291
2021-09-01,774384.110074074
2021-09-02,276300.309206349
2021-09-03,135703.994450242
2021-09-04,69434.041899187
2021-09-05,48314.1038901961
2021-09-06,30879.8070568421
2021-09-07,107487.837473551
2021-09-08,93075.66484
2021-09-09,65152.2627821914
2021-09-10,69232.4048
2021-09-11,114055.807736986
2021-09-12,76240.7090844445
2021-09-13,107395.219968459
2021-09-14,167127.458666667
2021-09-15,63681.592039801
2021-09-16,37825.8228296296
2021-09-17,50759.0430123465
2021-09-18,41586.1964225769
2021-09-19,43983.6286795699
2021-09-20,24967.8505813333
2021-09-21,152243.334256716
2021-09-22,59928.1418516432
2021-09-23,52290.3637989744
2021-09-24,38675.3082234234
2021-09-25,55004.9766243902
2021-09-26,70449.7431783784
2021-09-27,40998.5751674797
2021-09-28,38244.251913615
2021-09-29,63568.6166985916
2021-09-30,43731.5128550265
2021-10-01,88719.4661004115
2021-10-02,33952.9167323944
2021-10-03,74331.2020587106
2021-10-04,27614.2756210526
2021-10-05,99951.3947917696
2021-10-06,26312.8497454546
2021-10-07,65823.6682666667
2021-10-08,30762.2637067522
2021-10-09,33046.1584803653
2021-10-10,69196.9633102417
2021-10-11,54944.7825454546
2021-10-12,36444.5462650206
2021-10-13,26142.7259679325
2021-10-14,26666.3881824561
2021-10-15,68405.1984592593
2021-10-16,43754.6571034483
2021-10-17,76107.1359268343
2021-10-18,11692.7699087719
2021-10-19,117786.274626866
2021-10-20,41106.906736612
2021-10-21,179993.88865641
2021-10-22,64906.3785777778
2021-10-23,38200.6126596491
2021-10-24,33719.397208658
2021-10-25,49950.5647739837
2021-10-26,38641.1469414141
2021-10-27,29723.4905180328
2021-10-28,26494.5302704762
2021-10-29,15823.1432547945
2021-10-30,25106.6335004444
2021-10-31,34854.6797754386
2021-11-01,17981.4509784615
2021-11-02,43976.2115466667
2021-11-03,49480.4937312169
2021-11-04,22642.2612981279
2021-11-05,41792.6965975294
2021-11-06,50785.711833409
2021-11-07,30945.1421101888
2021-11-08,51190.7263594937
2021-11-09,29051.4333761317
2021-11-10,45591.2735457627
2021-11-11,54691.9332057971
2021-11-12,37689.2566704762
2021-11-13,50254.1065269841
2021-11-14,38277.6375276497
2021-11-15,49677.8909429719
2021-11-16,62567.0962844445
2021-11-17,88933.2212229885
2021-11-18,38146.6589473684
2021-11-19,64704.620239548
2021-11-20,147102.428242424
2021-11-21,106553.132506623
2021-11-22,53188.1756207407
2021-11-23,130933.190307246
2021-11-24,99846.0036102564
2021-11-25,71285.0459669002
2021-11-26,182588.184581084
2021-11-27,104464.036444444
2021-11-28,46397.0857537255
2021-11-29,209560.596606061
2021-11-30,85015.2757434921
2021-12-01,65729.0155534884
2021-12-02,71186.9752
2021-12-03,315854.914048138
2021-12-04,109251.861898308
2021-12-05,62132.1337009833
2021-12-06,513851.769765219
2021-12-07,120817.933457534
2021-12-08,93363.8097972603
2021-12-09,229466.776380952
2021-12-10,44271.8674864951
2021-12-11,35009.6322656647
2021-12-12,50115.6912909614
2021-12-13,92026.8731534884
2021-12-14,68948.0018666667
2021-12-15,44364.5546958904
2021-12-16,53802.2227978836
2021-12-17,110182.855072821
2021-12-18,31888.7442900585
2021-12-19,87751.7881904762
2021-12-20,141520.666252736
2021-12-21,64249.1239804878
2021-12-22,122120.29899187
2021-12-23,84237.0336727273
2021-12-24,96718.1126222222
2021-12-25,106415.68627451
2021-12-26,255982.0736
2021-12-27,260000
2021-12-28,138507.462686567
2021-12-29,297187.015272727
2021-12-30,263225.806451613
2021-12-31,239653.67965368
2022-01-01,476201.677016949
2022-01-02,490090.09009009
2022-01-03,230231.02310231
2022-01-04,236321.361361702
2022-01-05,1224748.55369697
2022-01-06,998801.137882353
2022-01-07,719058.823529412
2022-01-08,547555.555555556
2022-01-09,729003.984500201
2022-01-10,842795.379348837
2022-01-11,426002.467652968
2022-01-12,927288.888888889
2022-01-13,805067.344888889
2022-01-14,1093045.25107345
2022-01-15,435647.869730497
2022-01-16,446594.238329317
2022-01-17,346666.666666667
2022-01-18,271515.151515152
2022-01-19,535308.404992908
2022-01-20,613777.969818182
2022-01-21,629208.783566694
2022-01-22,563010.629981455
2022-01-23,1118156.66429924
2022-01-24,528868.76518239
2022-01-25,589472.717021645
2022-01-26,513980.277174129
2022-01-27,1177466.46040449
2022-01-28,253775.790454896
2022-01-29,160482.415768116
2022-01-30,409456.292788188
2022-01-31,230444.65634632
2022-02-01,375557.003636364
2022-02-02,90774.3822035088
2022-02-03,205924.806095238
2022-02-04,213695.314133333
2022-02-05,98408.5551494737
2022-02-06,190179.073400673
2022-02-07,162187.146196078
2022-02-08,903418.047015385
2022-02-09,79542.7018909091
2022-02-10,138079.061016502
2022-02-11,130112.879693845
2022-02-12,363179.442703083
2022-02-13,42729.5797962253
2022-02-14,78965.6157414141
2022-02-15,63977.4123866667
2022-02-16,115506.445192823
2022-02-17,210680.845544974
2022-02-18,54413.7992556133
2022-02-19,52243.1429694681
2022-02-20,68354.154416653
2022-02-21,29335.5176098458
2022-02-22,25268.2453142857
2022-02-23,75068.1605256039
2022-02-24,43355.1399822222
2022-02-25,41935.4743145881
2022-02-26,50126.187
2022-02-27,17182.7726196824
2022-02-28,18463.026688
2022-03-01,39691.2856484848
2022-03-02,14162.1449411765
2022-03-03,90702.7463962441
2022-03-04,63179.8967584833
2022-03-05,26109.1094419181
2022-03-06,0
2022-03-07,23021.0750990991
2022-03-08,5349.25068238651
2022-03-09,21466.1799017544
2022-03-10,30284.0373508197
2022-03-11,22922.5886070122
2022-03-12,16113.9768712661
2022-03-13,18236.1482064936
2022-03-14,4896.29029393258
2022-03-15,9354.95495495496
2022-03-16,9234.09566827839
2022-03-17,67277.0386881226
2022-03-18,6338.86874010017
2022-03-19,10582.6561409524
2022-03-20,29317.1281316673
2022-03-21,7162.27342666667
2022-03-22,12842.3079611763
2022-03-23,8166.15783757576
2022-03-24,15472.0490442105
2022-03-25,33398.8986746269
2022-03-26,11145.4241989189
2022-03-27,11443.6401770665
2022-03-28,17184.9257634409
2022-03-29,19524.689214359
2022-03-30,16786.5622337255
2022-03-31,26371.8752751174
2022-04-01,151573.683086195
2022-04-02,32460.4960455411
2022-04-03,208375.975559575
2022-04-04,38115.1707946667
2022-04-05,21285.9238821705
2022-04-06,9146.4201609697
2022-04-07,37372.7892674897
2022-04-08,115910.074555178
2022-04-09,55819.7671072464
2022-04-10,33894.0125007134
2022-04-11,109167.946704094
2022-04-12,39667.3501741177
2022-04-13,225744.865054176
2022-04-14,70714.6671402407
2022-04-15,37166.4758224213
2022-04-16,19029.8519437275
2022-04-17,33007.8932974074
2022-04-18,50008.3546021978
2022-04-19,46893.5857680365
2022-04-20,50983.0529170732
2022-04-21,395979.207395556
2022-04-22,62862.2222222222
2022-04-23,55406.1253838597
2022-04-24,44402.4674382979
2022-04-25,89346.1841287356
2022-04-26,65290.1703203463
2022-04-27,69819.9833098039
2022-04-28,79507.7623058824
2022-04-29,84927.0561860465
2022-04-30,411663.1508
2022-05-01,64518.808245045
2022-05-02,97966.4258350283
2022-05-03,47379.8209568627
2022-05-04,78473.0087111111
2022-05-05,265685.970767932
2022-05-06,239907.88172549
2022-05-07,158769.867636364
2022-05-08,473188.757833333
2022-05-09,135838.8492
2022-05-10,347302.856533333
2022-05-11,212421.764
2022-05-12,459230.074322581
2022-05-13,87229.6296296296
2022-05-14,125108.33145
2022-05-15,165834.277866667
2022-05-16,391901.899259259
2022-05-17,329234.92834632
2022-05-18,227928.431866667
2022-05-19,285255.258666667
2022-05-20,456364.262198198
2022-05-21,163691.06157037
2022-05-22,131217.759746032
2022-05-23,405196.099047619
2022-05-24,100837.608436364
2022-05-25,124816.561498413
2022-05-26,332575.848280702
2022-05-27,135644.395017143
2022-05-28,175514.559364539
2022-05-29,113431.16760381
2022-05-30,153447.7088
2022-05-31,470544.815111111
2022-06-01,319584.325978022
2022-06-02,290583.490770563
2022-06-03,281305.01535865
2022-06-04,495353.197220657
2022-06-05,340109.380088889
2022-06-06,89565.0046222222
2022-06-07,139438.181423474
2022-06-08,345823.246683983
2022-06-09,250540.351054852
2022-06-10,311459.919746032
2022-06-11,518002.035759563
2022-06-12,107780.98012549
2022-06-13,580301.773140097
2022-06-14,131979.281303704
2022-06-15,171687.398028986
2022-06-16,412918.726588235
2022-06-17,234565.520729824
2022-06-18,232286.417498127
2022-06-19,225520.386598291
2022-06-20,278914.545098039
2022-06-21,190152.737777778
2022-06-22,220638.437829457
2022-06-23,228939.114181818
2022-06-24,452489.824477612
2022-06-25,837468.808792793
2022-06-26,302678.407164179
2022-06-27,392279.705934641
2022-06-28,729203.020939891
2022-06-29,189916.883132275
2022-06-30,398039.26715493
2022-07-01,278027.46108718
2022-07-02,341232.474009132
2022-07-03,172408.1312
2022-07-04,396368.870593939
2022-07-05,247734.968643678
2022-07-06,278209.532121212
2022-07-07,451900.778844445
2022-07-08,273196.735632184
2022-07-09,500853.371480226
2022-07-10,262690.677831776
2022-07-11,301229.315254237
2022-07-12,362087.543138461
2022-07-13,265496.449899543
2022-07-14,912359.154782609
2022-07-15,325556.220097561
2022-07-16,185020.81899187
2022-07-17,482866.04616092
2022-07-18,256995.365517241
2022-07-19,304508.883555556
2022-07-20,322077.017212121
2022-07-21,289043.757442922
2022-07-22,299453.300350877
2022-07-23,309504.046545455
2022-07-24,330209.61791453
2022-07-25,196070.132096618
2022-07-26,494885.420895522
2022-07-27,135456.412439216
2022-07-28,187025.106590476
2022-07-29,173545.702464646
2022-07-30,156402.42895
2022-07-31,120069.411492473
2022-08-01,166896.184284444
2022-08-02,285344.940108108
2022-08-03,125708.103180952
2022-08-04,128366.064754023
2022-08-05,58282.2095483871
2022-08-06,462250.023578947
2022-08-07,140170.987466667
2022-08-08,172464.034133333
2022-08-09,119880.108947692
2022-08-10,237404.828502732
2022-08-11,319438.53277193
2022-08-12,145884.76477193
2022-08-13,179050.502044444
2022-08-14,182811.67240678
2022-08-15,188487.173517241
2022-08-16,100821.903779894
2022-08-17,186392.010666667
2022-08-18,241468.096507937
2022-08-19,201674.561219048
2022-08-20,200885.89779235
2022-08-21,214206.181948718
2022-08-22,94007.4840168776
2022-08-23,296540.439166667
2022-08-24,109474.805937107
2022-08-25,377473.663812866
2022-08-26,101155.195293122
2022-08-27,261160.446372881
2022-08-28,122997.889439153
2022-08-29,78620.7744
2022-08-30,524096.797046154
2022-08-31,80794.7526877193
2022-09-01,104378.705148718
2022-09-02,95820.6212148148
2022-09-03,103080.537581287
2022-09-04,91421.2698298851
2022-09-05,68151.7071111111
2022-09-06,92974.4144333334
2022-09-07,104461.357604678
2022-09-08,118447.506075152
2022-09-09,71751.0098476191
2022-09-10,133013.788860952
2022-09-11,90688.4846814815
2022-09-12,119761.642539303
2022-09-13,90484.7269062147
2022-09-14,68287.3669142857
2022-09-15,47998.3918688525
2022-09-16,75437.9731060109
2022-09-17,86667.0844049383
2022-09-18,53363.0053142857
2022-09-19,73085.736
2022-09-20,30886.2112
2022-09-21,54433.0753800866
2022-09-22,2751.50314
2022-09-23,34535.5182222222
2022-09-24,54605.5152786885
2022-09-25,45431.9693183521
2022-09-26,56873.9049142857
2022-09-27,81474.5988292683
2022-09-28,79228.0134212454
2022-09-29,85437.8427809524
2022-09-30,198160.48512
2022-10-01,69604.3650370371
2022-10-02,65897.3512272109
2022-10-03,118253.14387957
2022-10-04,51247.832217284
2022-10-05,156010.546928814
2022-10-06,144100.432703546
2022-10-07,46540.693804329
2022-10-08,48282.7083568075
2022-10-09,63280.8178962963
2022-10-10,49359.5123364103
2022-10-11,29276.9327488584
2022-10-12,34445.6415322751
2022-10-13,45291.3319585185
2022-10-14,33658.7315504762
2022-10-15,32130.2789624242
2022-10-16,43002.8058434783
2022-10-17,18476.002457971
2022-10-18,48351.5041777778
2022-10-19,50474.9208478632
2022-10-20,69930.2966837607
2022-10-21,52593.7775777778
2022-10-22,41508.4594379487
2022-10-23,278122.556289855
2022-10-24,21103.6448995556
2022-10-25,50035.5031703704
2022-10-26,30112.0652088889
2022-10-27,49563.9982730159
2022-10-28,127057.362115847
2022-10-29,25563.9712
2022-10-30,28259.6988908212
2022-10-31,38429.4257719008
2022-11-01,167196.246168116
2022-11-02,111122.274068027
2022-11-03,90587.6230281482
2022-11-04,65263.658928655
2022-11-05,36965.17895
2022-11-06,142106.41894902
2022-11-07,202057.215707763
2022-11-08,143087.516233333
2022-11-09,121165.799668468
2022-11-10,92574.9835760684
2022-11-11,163084.874666667
2022-11-12,83297.8749649718
2022-11-13,90355.2627626667
2022-11-14,113495.705060082
2022-11-15,313285.01850505
2022-11-16,133598.187552542
2022-11-17,65095.0595027027
2022-11-18,77599.2320136752
2022-11-19,105190.062710078
2022-11-20,181191.672788732
2022-11-21,102203.815132338
2022-11-22,96814.00782723
2022-11-23,129917.254983111
2022-11-24,171340.318830769
2022-11-25,108628.10425679
2022-11-26,322445.076882629
2022-11-27,155682.649566138
2022-11-28,107873.024636816
2022-11-29,453054.258028169
2022-11-30,125460.921386667
2022-12-01,322195.781101449
2022-12-02,544845.455407407
2022-12-03,1242345.17411382
2022-12-04,648853.599546099
