"collection_date","N_Gene_gc_g_dry_weight"
2022-04-27,535715.453243446
2022-04-28,0
2022-04-29,330615.53691954
2022-04-30,0
2022-05-01,0
2022-05-02,176485.880820513
2022-05-03,0
2022-05-04,312301.042311111
2022-05-05,0
2022-05-06,239660.564210526
2022-05-07,0
2022-05-08,0
2022-05-09,334868.632163265
2022-05-10,0
2022-05-11,367004.2992
2022-05-12,0
2022-05-13,354726.187196687
2022-05-14,0
2022-05-15,0
2022-05-16,726484.145195402
2022-05-17,0
2022-05-18,361315.597728395
2022-05-19,0
2022-05-20,112217.101671361
2022-05-21,0
2022-05-22,0
2022-05-23,295342.369650794
2022-05-24,0
2022-05-25,908806.521904762
2022-05-26,0
2022-05-27,298737.850638146
2022-05-28,0
2022-05-29,0
2022-05-30,0
2022-05-31,213799.906666667
2022-06-01,319758.881422222
2022-06-02,0
2022-06-03,380729.927007299
2022-06-04,0
2022-06-05,0
2022-06-06,169801.919161049
2022-06-07,0
2022-06-08,210053.979368421
2022-06-09,0
2022-06-10,198124.401797102
2022-06-11,0
2022-06-12,0
2022-06-13,742355.918933333
2022-06-14,0
2022-06-15,213171.655813954
2022-06-16,0
2022-06-17,317369.873777778
2022-06-18,0
2022-06-19,0
2022-06-20,228895.982111111
2022-06-21,0
2022-06-22,581976.662234742
2022-06-23,0
2022-06-24,437476.064627451
2022-06-25,0
2022-06-26,0
2022-06-27,358738.270184397
2022-06-28,0
2022-06-29,292436.105218107
2022-06-30,0
2022-07-01,476484.1795
2022-07-02,0
2022-07-03,0
2022-07-04,0
2022-07-05,0
2022-07-06,413060.264025397
2022-07-07,0
2022-07-08,287874.253114754
2022-07-09,0
2022-07-10,0
2022-07-11,11416555.3047953
2022-07-12,0
2022-07-13,108042.42061017
2022-07-14,0
2022-07-15,392580.137142857
2022-07-16,0
2022-07-17,0
2022-07-18,0
2022-07-19,1353250.43288889
2022-07-20,353888.511636364
2022-07-21,0
2022-07-22,520002.495707763
2022-07-23,0
2022-07-24,984792.910582278
2022-07-25,0
2022-07-26,0
2022-07-27,209859.519913978
2022-07-28,0
2022-07-29,223159.249287356
2022-07-30,0
2022-07-31,0
2022-08-01,237614.307340067
2022-08-02,0
2022-08-03,398195.874251852
2022-08-04,0
2022-08-05,409774.479157895
2022-08-06,0
2022-08-07,0
2022-08-08,364711.326919831
2022-08-09,0
2022-08-10,169913.306424242
2022-08-11,0
2022-08-12,252249.063949686
2022-08-13,0
2022-08-14,0
2022-08-15,76476.6186977346
2022-08-16,0
2022-08-17,110780.78170728
2022-08-18,0
2022-08-19,159843.802444444
2022-08-20,0
2022-08-21,0
2022-08-22,99733.3333333333
2022-08-23,0
2022-08-24,104021.623395556
2022-08-25,0
2022-08-26,61971.4316018779
2022-08-27,0
2022-08-28,0
2022-08-29,114667.901165297
2022-08-30,0
2022-08-31,49118.250982716
2022-09-01,0
2022-09-02,112424.132374101
2022-09-03,0
2022-09-04,0
2022-09-05,0
2022-09-06,0
2022-09-07,92415.1557723577
2022-09-08,0
2022-09-09,129283.452282828
2022-09-10,0
2022-09-11,0
2022-09-12,196845.911536232
2022-09-13,0
2022-09-14,96275.0117066666
2022-09-15,0
2022-09-16,79129.1701538461
2022-09-17,0
2022-09-18,0
2022-09-19,120887.299883761
2022-09-20,0
2022-09-21,160743.683047619
2022-09-22,0
2022-09-23,330331.322340136
2022-09-24,0
2022-09-25,0
2022-09-26,105887.390846512
2022-09-27,0
2022-09-28,439661.005419355
2022-09-29,0
2022-09-30,128279.603182073
2022-10-01,0
2022-10-02,0
2022-10-03,28311.0367663158
2022-10-04,0
2022-10-05,286068.731917695
2022-10-06,0
2022-10-07,217489.306133333
2022-10-08,0
2022-10-09,0
2022-10-10,0
2022-10-11,0
2022-10-12,125019.26831828
2022-10-13,0
2022-10-14,116696.17025641
2022-10-15,0
2022-10-16,0
2022-10-17,43734.8224879725
2022-10-18,0
2022-10-19,207574.821619048
2022-10-20,0
2022-10-21,146897.718637037
2022-10-22,0
2022-10-23,0
2022-10-24,42807.2202819048
2022-10-25,0
2022-10-26,271277.598827839
2022-10-27,0
2022-10-28,101240.551659683
2022-10-29,0
2022-10-30,164786.952434109
2022-10-31,196241.434823529
2022-11-01,0
2022-11-02,88047.4683030303
2022-11-03,0
2022-11-04,158797.031794872
2022-11-05,0
2022-11-06,0
2022-11-07,265265.865623188
2022-11-08,0
2022-11-09,59283.8923120567
2022-11-10,131169.85906455
2022-11-11,0
2022-11-12,0
2022-11-13,0
2022-11-14,107528.54523786
2022-11-15,0
2022-11-16,72157.5202424242
2022-11-17,0
2022-11-18,199050.797333333
2022-11-19,0
2022-11-20,0
2022-11-21,159095.949555556
2022-11-22,0
2022-11-23,272841.057185185
2022-11-24,0
2022-11-25,0
2022-11-26,0
2022-11-27,0
2022-11-28,228747.510724638
2022-11-29,0
2022-11-30,204062.334755556
2022-12-01,0
2022-12-02,149686.09682963
2022-12-03,0
2022-12-04,0
2022-12-05,120918.822619178
2022-12-06,0
2022-12-07,639954.982700855
2022-12-08,0
2022-12-09,409514.129439154
2022-12-10,0
2022-12-11,0
2022-12-12,366255.511063063
2022-12-13,0
2022-12-14,122368.070810256
2022-12-15,0
2022-12-16,164916.435098413
2022-12-17,0
2022-12-18,0
2022-12-19,238961.961535354
2022-12-20,0
2022-12-21,328679.17411236
2022-12-22,0
2022-12-23,0
2022-12-24,0
2022-12-25,0
2022-12-26,0
2022-12-27,223149.063247863
2022-12-28,1509112.62035088
2022-12-29,0
2022-12-30,0
2022-12-31,0
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,462125.013152542
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,63093.7629244444
