"collection_date","N_Gene_gc_g_dry_weight"
2022-05-20,167920.092065906
2022-05-21,307708.22342959
2022-05-22,164977.965019608
2022-05-23,118140.885333333
2022-05-24,391603.290385965
2022-05-25,491154.662883415
2022-05-26,472016.059022222
2022-05-27,305009.745368237
2022-05-28,133032.975348148
2022-05-29,251628.300370089
2022-05-30,1088709.85244444
2022-05-31,465026.223463511
2022-06-01,374816.255300546
2022-06-02,514057.320214559
2022-06-03,354062.575058824
2022-06-04,221778.638453102
2022-06-05,726582.694320988
2022-06-06,313280.691009901
2022-06-07,121406.629023656
2022-06-08,513571.340827004
2022-06-09,132556.015161049
2022-06-10,138513.460433193
2022-06-11,276232.401515152
2022-06-12,87990.5988427673
2022-06-13,179335.082596026
2022-06-14,100149.290593103
2022-06-15,227600.680444445
2022-06-16,460522.39014346
2022-06-17,271283.530878939
2022-06-18,214068.263275938
2022-06-19,96183.5973647059
2022-06-20,275519.334729307
2022-06-21,622996.500091324
2022-06-22,174076.914777778
2022-06-23,197270.95832381
2022-06-24,768036.383711712
2022-06-25,745119.191380471
2022-06-26,612051.887042735
2022-06-27,168414.639318296
2022-06-28,479096.04519774
2022-06-29,291020.802095238
2022-06-30,754586.738628389
2022-07-01,404285.131764706
2022-07-02,288574.599750312
2022-07-03,126633.601286052
2022-07-04,27498.5249165756
2022-07-05,70467.5799262982
2022-07-06,77398.7583137255
2022-07-07,788381.832982456
2022-07-08,596567.137641026
2022-07-09,296662.630420221
2022-07-10,0
2022-07-11,664967.524938272
2022-07-12,809533.578451179
2022-07-13,421177.987177305
2022-07-14,549979.707076923
2022-07-15,273143.04232526
2022-07-16,625371.184963289
2022-07-17,532612.575762963
2022-07-18,676123.801048689
2022-07-19,483696.205620513
2022-07-20,319817.202324786
2022-07-21,250315.626458333
2022-07-22,289357.135550201
2022-07-23,218199.899348018
2022-07-24,365168.624663805
2022-07-25,662481.124746946
2022-07-26,335815.054174497
2022-07-27,318269.784692913
2022-07-28,291809.547252033
2022-07-29,438071.177253863
2022-07-30,399042.018956522
2022-07-31,298487.885498525
2022-08-01,441108.444742515
2022-08-02,127107.431207207
2022-08-03,360969.861333333
2022-08-04,155346.756152125
2022-08-05,238756.476683938
2022-08-06,237948.717948718
2022-08-07,238080
2022-08-08,230054.054054054
2022-08-09,235309.882747069
2022-08-10,312852.233676976
2022-08-11,258776.292720567
2022-08-12,194359.557433962
2022-08-13,223197.266414594
2022-08-14,102390.227152593
2022-08-15,212884.04574461
2022-08-16,168492.409944444
2022-08-17,241344.868616247
2022-08-18,648031.110316574
2022-08-19,221860.308291188
2022-08-20,257280.648481928
2022-08-21,204791.661941085
2022-08-22,348469.321133733
2022-08-23,179760.956891122
2022-08-24,79805.1374184397
2022-08-25,249054.54
2022-08-26,228061.978768254
2022-08-27,95775.9000816327
2022-08-28,207096.155721612
2022-08-29,145498.895153076
2022-08-30,156051.085895496
2022-08-31,104518.839509333
2022-09-01,131348.550429224
2022-09-02,130234.684687145
2022-09-03,115319.311010558
2022-09-04,89207.6136525097
2022-09-05,94672.261258216
2022-09-06,339441.83972457
2022-09-07,163901.776225989
2022-09-08,180552.146039216
2022-09-09,134897.632761905
2022-09-10,39450.0347981395
2022-09-11,185319.142461538
2022-09-12,148940.623125683
2022-09-13,140217.419961165
2022-09-14,153970.534974359
2022-09-15,291131.152055556
2022-09-16,174773.515032904
2022-09-17,172092.409991266
2022-09-18,0
2022-09-19,114783.177212121
2022-09-20,151300.898113208
2022-09-21,0
2022-09-22,120856.734528736
2022-09-23,110273.712087432
2022-09-24,89868.1998705502
2022-09-25,75445.6104744745
2022-09-26,26755.447687574
2022-09-27,83657.6030967742
2022-09-28,25492.2940581952
2022-09-29,47185.2862628571
2022-09-30,62272.2444190476
2022-10-01,88704.6824096386
2022-10-02,150272.939813084
2022-10-03,73345.7162993197
2022-10-04,123014.865190083
2022-10-05,74654.0493544974
2022-10-06,188291.233195815
2022-10-07,93435.7415757576
2022-10-08,110473.100695652
2022-10-09,94634.4035348838
2022-10-10,90998.955320562
2022-10-11,63711.5043767038
2022-10-12,98556.5900508702
2022-10-13,151535.136490421
2022-10-14,126194.795665248
2022-10-15,189598.432172043
2022-10-16,66628.7478029782
2022-10-17,80624.4180143062
