"collection_date","N_Gene_gc_g_dry_weight"
2022-10-17,63768.8258285714
2022-10-18,0
2022-10-19,470298.495482201
2022-10-20,0
2022-10-21,93666.8521728938
2022-10-22,0
2022-10-23,0
2022-10-24,37618.7519871486
2022-10-25,0
2022-10-26,51573.289762963
2022-10-27,0
2022-10-28,117167.226591549
2022-10-29,0
2022-10-30,0
2022-10-31,237135.226940171
2022-11-01,0
2022-11-02,70689.7182290076
2022-11-03,0
2022-11-04,449241.079934959
2022-11-05,0
2022-11-06,0
2022-11-07,124814.248619529
2022-11-08,0
2022-11-09,98620.5153350211
2022-11-10,0
2022-11-11,174738.06396603
2022-11-12,0
2022-11-13,0
2022-11-14,0
2022-11-15,0
2022-11-16,0
2022-11-17,0
2022-11-18,1442354.48200717
2022-11-19,0
2022-11-20,0
2022-11-21,134923.956088889
2022-11-22,0
2022-11-23,298816.152329588
2022-11-24,0
2022-11-25,185735.380502165
2022-11-26,0
2022-11-27,0
2022-11-28,1040526.24669281
2022-11-29,0
2022-11-30,1144830.56163137
2022-12-01,0
2022-12-02,315211.614024691
2022-12-03,0
2022-12-04,0
2022-12-05,2469096.13021645
2022-12-06,0
2022-12-07,634802.421
2022-12-08,0
2022-12-09,437267.023367232
2022-12-10,0
2022-12-11,0
2022-12-12,472281.313471264
2022-12-13,0
2022-12-14,455762.349879518
2022-12-15,0
2022-12-16,343270.442666667
2022-12-17,0
2022-12-18,0
2022-12-19,607529.434478431
2022-12-20,0
2022-12-21,730953.437681159
2022-12-22,0
2022-12-23,646963.724227642
2022-12-24,0
2022-12-25,0
2022-12-26,321824.697518987
2022-12-27,0
2022-12-28,1140143.77173333
2022-12-29,0
2022-12-30,258999.698852713
2022-12-31,0
2023-01-01,0
2023-01-02,185258.487497584
2023-01-03,0
2023-01-04,92301.7698666666
2023-01-05,0
2023-01-06,570510.522587065
2023-01-07,0
2023-01-08,0
2023-01-09,142031.586278317
2023-01-10,0
2023-01-11,168463.801787134
2023-01-12,0
2023-01-13,248538.384670659
2023-01-14,0
2023-01-15,0
2023-01-16,981748.8988
2023-01-17,0
2023-01-18,435500.332273973
2023-01-19,0
2023-01-20,0
2023-01-21,244794.684022599
2023-01-22,0
2023-01-23,179054.529939394
2023-01-24,0
2023-01-25,134661.873706667
2023-01-26,0
2023-01-27,0
2023-01-28,331203.382857143
2023-01-29,0
2023-01-30,245387.365582038
2023-01-31,0
2023-02-01,772839.804899225
2023-02-02,0
2023-02-03,517256.842666667
2023-02-04,0
2023-02-05,0
2023-02-06,380892.881964912
2023-02-07,0
2023-02-08,239646.744280702
2023-02-09,0
2023-02-10,1798758.71215686
2023-02-11,0
2023-02-12,0
2023-02-13,842367.496050315
2023-02-14,0
2023-02-15,213870.043569231
2023-02-16,0
2023-02-17,4779852.83482993
2023-02-18,0
2023-02-19,0
2023-02-20,892078.049545894
2023-02-21,0
2023-02-22,1230654.07155116
2023-02-23,0
2023-02-24,106202.581657971
2023-02-25,0
2023-02-26,0
2023-02-27,3859447.54666667
2023-02-28,0
2023-03-01,2944026.41413105
2023-03-02,0
2023-03-03,1549757.15733333
2023-03-04,0
2023-03-05,0
2023-03-06,102358.01031694
2023-03-07,0
2023-03-08,389694.809561562
2023-03-09,0
2023-03-10,110858.971968102
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,623222.390833333
2023-03-16,0
2023-03-17,177491.000086021
