"collection_date","N_Gene_gc_g_dry_weight"
2020-10-02,9093.84580758974
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,6182.86693772549
2020-10-07,0
2020-10-08,0
2020-10-09,8063.52156624473
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,22683.2813653333
2020-10-14,0
2020-10-15,0
2020-10-16,38286.8324987013
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,14149.0722176871
2020-10-21,0
2020-10-22,0
2020-10-23,9631.96048
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,5100.67333945355
2020-10-28,0
2020-10-29,0
2020-10-30,6345.7345525926
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,8910.70717435898
2020-11-04,0
2020-11-05,0
2020-11-06,12700.2478649789
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,15708.5099577017
2020-11-17,18030.9638772487
2020-11-18,19111.3878759878
2020-11-19,23979.9600678788
2020-11-20,29694.6331469027
2020-11-21,16436.0774558559
2020-11-22,48084.0788073491
2020-11-23,32885.3914416107
2020-11-24,98965.8021052632
2020-11-25,30187.1217563218
2020-11-26,20573.9009825826
2020-11-27,47873.2038857143
2020-11-28,45326.7248272506
2020-11-29,66798.5181767442
2020-11-30,60082.1865579618
2020-12-01,46510.5230181818
2020-12-02,75512.6985982906
2020-12-03,48725.397016381
2020-12-04,63140.6039500891
2020-12-05,48825.196231694
2020-12-06,129276.167894539
2020-12-07,124028.089913726
2020-12-08,140408.859418345
2020-12-09,146588.058627737
2020-12-10,104547.965914339
2020-12-11,106753.14537931
2020-12-12,158077.200222222
2020-12-13,188451.925925926
2020-12-14,130283.387296066
2020-12-15,144317.897475177
2020-12-16,182319.745247563
2020-12-17,130021.02929979
2020-12-18,114076.209777778
2020-12-19,135559.80040678
2020-12-20,209855.207217565
2020-12-21,211016.748701349
2020-12-22,146556.676530466
2020-12-23,131617.391695238
2020-12-24,133948.31754955
2020-12-25,347151.381673036
2020-12-26,74354.0830387597
2020-12-27,83081.6391437309
2020-12-28,214930.608822857
2020-12-29,49807.7243801419
2020-12-30,149709.994666667
2020-12-31,106584.812045977
2021-01-01,827845.638370856
2021-01-02,64645.4259585687
2021-01-03,225248.74678282
2021-01-04,46533.0147161717
2021-01-05,102213.666329976
2021-01-06,169225.446079164
2021-01-07,146841.517857143
2021-01-08,70870.3521134752
2021-01-09,44519.7140728986
2021-01-10,45828.1222831141
2021-01-11,90579.1247332539
2021-01-12,182263.730752348
2021-01-13,227955.18713804
2021-01-14,219129.792055846
2021-01-15,41957.4696340678
2021-01-16,89749.7155624121
2021-01-17,30624.7110720034
2021-01-18,52172.1721830822
2021-01-19,68379.5798039216
2021-01-20,34312.199488
2021-01-21,67388.5088754209
2021-01-22,37198.9492512821
2021-01-23,55623.6060273092
2021-01-24,55641.2783515152
2021-01-25,45083.2018683652
2021-01-26,10643.652695717
2021-01-27,625225.351800995
2021-01-28,87945.6763174017
2021-01-29,37500.6822292914
2021-01-30,29960.0614628322
2021-01-31,31550.2159722822
2021-02-01,47771.0122067206
2021-02-02,74555.7530721028
2021-02-03,47177.8417888441
2021-02-04,23391.5865421295
2021-02-05,29723.396376958
2021-02-06,67017.920811971
2021-02-07,44658.291620202
2021-02-08,44578.8343484302
2021-02-09,18746.2770222314
2021-02-10,49867.5062241456
2021-02-11,36052.8261233598
2021-02-12,19180.984694723
2021-02-13,25070.885427451
2021-02-14,939247.478969946
2021-02-15,40481.1290779499
2021-02-16,20906.3171027957
2021-02-17,31308.4181485602
2021-02-18,9672.43144065041
2021-02-19,10218.0874708927
2021-02-20,28705.043742663
2021-02-21,7258.04405512104
2021-02-22,28908.920288086
2021-02-23,12519.6241034826
2021-02-24,24102.0403656305
2021-02-25,20509.7452799479
