"collection_date","N_Gene_gc_g_dry_weight"
2020-12-08,343172.505706667
2020-12-09,1066593.15727946
2020-12-10,295868.468969697
2020-12-11,1202017.70466667
2020-12-12,530177.866666667
2020-12-13,806247.050026667
2020-12-14,562815.245261261
2020-12-15,1531113.30666667
2020-12-16,319062.389633803
2020-12-17,286602.856842105
2020-12-18,506776.506702461
2020-12-19,917125.663353535
2020-12-20,788886.660571429
2020-12-21,67990.4513939394
2020-12-22,1733342.04637681
2020-12-23,94417.6861538462
2020-12-24,325486.636255319
2020-12-25,298004.973176471
2020-12-26,1255263.01066667
2020-12-27,724471.55372043
2020-12-28,316645.249043478
2020-12-29,668654.089513514
2020-12-30,420375.145777778
2020-12-31,303539.776969697
2021-01-01,810918.024772607
2021-01-02,1140050.69074959
2021-01-03,322764.774440252
2021-01-04,1039347.24303498
2021-01-05,191272.453025535
2021-01-06,3422358.95792643
2021-01-07,430730.607774522
2021-01-08,176361.30674042
2021-01-09,753557.242666667
2021-01-10,403851.932949491
2021-01-11,216373.920440674
2021-01-12,278959.100896662
2021-01-13,435674.03157552
2021-01-14,846462.804028112
2021-01-15,124347.30345098
2021-01-16,986727.281796033
2021-01-17,836039.384206137
2021-01-18,54307.4368727242
2021-01-19,149396.39388874
2021-01-20,578168.992318408
2021-01-21,107635.061648915
2021-01-22,3850968.04333333
2021-01-23,195043.242164706
2021-01-24,1084484.25003922
2021-01-25,39444.7481121495
2021-01-26,95604.5233623188
2021-01-27,64084.5108863732
2021-01-28,47217.6755842294
2021-01-29,117001.377851113
2021-01-30,43385.6391121821
2021-01-31,79307.0502605917
2021-02-01,111210.141863142
2021-02-02,103737.025790744
2021-02-03,188928.934089242
2021-02-04,40927.9092710618
2021-02-05,18092.7912394206
2021-02-06,16964.477286553
2021-02-07,50883.1634002478
2021-02-08,49927.8801632653
2021-02-09,47686.9879828559
2021-02-10,26175.148530895
2021-02-11,10910.6470219458
2021-02-12,65314.1888705167
2021-02-13,31507.9143391319
2021-02-14,71822.9219463203
2021-02-15,3424.19761383605
2021-02-16,39559.4457300698
2021-02-17,110332.302675862
2021-02-18,44719.6194445752
2021-02-19,21319.3098666667
2021-02-20,11425.9030713346
2021-02-21,95191.5570149254
2021-02-22,8676.93755883246
2021-02-23,24046.08069082
2021-02-24,29017.3303466667
2021-02-25,15583.8450223314
2021-02-26,14359.4294215528
2021-02-27,68471.5382782094
2021-02-28,32418.9588764444
2021-03-01,11426.2795915791
2021-03-02,16881.3595508772
2021-03-03,11013.4763855556
2021-03-04,6258.76176627451
2021-03-05,54966.5888133333
2021-03-06,5801.34014900344
2021-03-07,0
2021-03-08,223106.9088
2021-03-09,14121.3291410853
2021-03-10,10243.0353892473
2021-03-11,10222.0376312312
2021-03-12,1915.66254678063
2021-03-13,11689.5485931973
2021-03-14,31038.7011622642
2021-03-15,3751.5613071345
2021-03-16,8425.72429698246
2021-03-17,8428.79562751323
2021-03-18,2517.95099103825
2021-03-19,14737.9278478689
2021-03-20,5800.51110238994
2021-03-21,12703.4359159159
2021-03-22,2402.97244952381
2021-03-23,139866.926051952
2021-03-24,27141.7413485714
2021-03-25,15566.9295304348
2021-03-26,18195.801
2021-03-27,21518.1626168889
2021-03-28,19856.4966533333
2021-03-29,16894.1845675472
2021-03-30,23007.95184
2021-03-31,8042.22034650699
2021-04-01,33626.5718265372
2021-04-02,41392.162288172
2021-04-03,16129.805551746
2021-04-04,11323.989432
2021-04-05,4216.97824335958
2021-04-06,12742.8533587302
2021-04-07,37448.9445849462
2021-04-08,19225.5912368324
2021-04-09,18619.0024028674
2021-04-10,46349.504257094
2021-04-11,6624.31944025397
2021-04-12,14931.4376091954
2021-04-13,35443.2692923077
2021-04-14,29959.8593753425
2021-04-15,16724.8965069307
2021-04-16,2022.36701075269
2021-04-17,20090.4484413793
2021-04-18,56465.6456333333
2021-04-19,25075.784151682
2021-04-20,48737.2810142077
2021-04-21,17547.8855768839
2021-04-22,4092.52277089802
2021-04-23,28762.9193153934
2021-04-24,11646.8600143089
2021-04-25,7238.6770535065
2021-04-26,27381.9778432749
2021-04-27,45712.0310857143
2021-04-28,73294.4845138212
2021-04-29,10315.4723288889
2021-04-30,13709.6647045872
2021-05-01,8134.79964595745
2021-05-02,13126.5558831956
2021-05-03,23374.425378355
2021-05-04,20126.3802962963
2021-05-05,6868.62188130719
2021-05-06,8104.19911111111
2021-05-07,28106.2740764444
2021-05-08,2736.64614447761
2021-05-09,4735.36569481482
2021-05-10,1674.67716796421
2021-05-11,7425.48223101755
2021-05-12,9657.60866844444
2021-05-13,6453.16516333333
2021-05-14,4438.58734871046
2021-05-15,5925.33410621469
2021-05-16,11661.0855026455
2021-05-17,15561.77934
2021-05-18,8019.91368439561
2021-05-19,44732.2489650794
2021-05-20,5216.438651341
2021-05-21,61279.6377072165
2021-05-22,4008.34477158879
2021-05-23,2670.81705060932
2021-05-24,4558.62898340528
2021-05-25,15332.089790099
2021-05-26,25264.4828737255
2021-05-27,99553.5516070176
2021-05-28,18846.7400343234
2021-05-29,20227.9740093897
2021-05-30,0
2021-05-31,5999.65084190476
2021-06-01,14376.7468012945
2021-06-02,6771.0256576
2021-06-03,10045.21052
2021-06-04,2562.24541854406
2021-06-05,1446.62808888889
2021-06-06,3167.720304
2021-06-07,0
2021-06-08,4575.42370564103
2021-06-09,17076.269398374
2021-06-10,5921.5692608805
2021-06-11,4790.28570434783
2021-06-12,5276.01693288136
2021-06-13,0
