"collection_date","N_Gene_gc_g_dry_weight"
2020-07-16,88555.8684444445
2020-07-17,0
2020-07-18,0
2020-07-19,99018.0918565737
2020-07-20,0
2020-07-21,60187.2890084034
2020-07-22,0
2020-07-23,80777.0608315912
2020-07-24,0
2020-07-25,0
2020-07-26,63926.8364444444
2020-07-27,0
2020-07-28,48472.2542328358
2020-07-29,0
2020-07-30,82296.5194482759
2020-07-31,0
2020-08-01,0
2020-08-02,77128.9678769231
2020-08-03,0
2020-08-04,50905.2623515151
2020-08-05,0
2020-08-06,57929.5105030979
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,67698.2434271962
2020-08-12,80695.3627762557
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,43336.8143619048
2020-09-07,0
2020-09-08,36036.9943598174
2020-09-09,0
2020-09-10,84449.613415015
2020-09-11,0
2020-09-12,0
2020-09-13,62967.9405515982
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,9593.9219655914
2020-10-02,0
2020-10-03,0
2020-10-04,16271.1991765112
2020-10-05,0
2020-10-06,7934.54670891089
2020-10-07,0
2020-10-08,3698.23015078788
2020-10-09,0
2020-10-10,0
2020-10-11,7530.65383633491
2020-10-12,0
2020-10-13,6544.83515028249
2020-10-14,0
2020-10-15,8763.50507167449
2020-10-16,0
2020-10-17,0
2020-10-18,8879.20895904335
2020-10-19,0
2020-10-20,6700.15555698925
2020-10-21,7272.7090918239
2020-10-22,7315.80139007092
2020-10-23,0
2020-10-24,0
2020-10-25,12749.6979649123
2020-10-26,9702.62144282561
2020-10-27,6351.99485702564
