"collection_date","N_Gene_gc_g_dry_weight"
2022-07-06,690074.736827095
2022-07-07,56769.9461455471
2022-07-08,0
2022-07-09,0
2022-07-10,0
2022-07-11,510463.117768707
2022-07-12,0
2022-07-13,584029.303888889
2022-07-14,0
2022-07-15,604954.158353909
2022-07-16,0
2022-07-17,0
2022-07-18,392197.294689524
2022-07-19,0
2022-07-20,640282.524938272
2022-07-21,0
2022-07-22,485505.544609137
2022-07-23,0
2022-07-24,0
2022-07-25,337506.634432748
2022-07-26,0
2022-07-27,914032.665055929
2022-07-28,0
2022-07-29,206768.261587302
2022-07-30,0
2022-07-31,0
2022-08-01,266790.952461538
2022-08-02,0
2022-08-03,336209.984969697
2022-08-04,0
2022-08-05,359133.629571429
2022-08-06,0
2022-08-07,0
2022-08-08,144112.697158035
2022-08-09,0
2022-08-10,117831.682909091
2022-08-11,0
2022-08-12,634695.931534884
2022-08-13,0
2022-08-14,0
2022-08-15,81820.5208735632
2022-08-16,0
2022-08-17,195940.61039548
2022-08-18,0
2022-08-19,69056.7540078431
2022-08-20,0
2022-08-21,0
2022-08-22,321241.710122066
2022-08-23,89216.731847619
2022-08-24,115237.460693333
2022-08-25,0
2022-08-26,158455.226263305
2022-08-27,0
2022-08-28,0
2022-08-29,0
2022-08-30,0
2022-08-31,354970.904650718
2022-09-01,0
2022-09-02,265916.681001927
2022-09-03,0
2022-09-04,0
2022-09-05,232759.327518797
2022-09-06,0
2022-09-07,130892.500895726
2022-09-08,0
2022-09-09,313028.140409241
2022-09-10,0
2022-09-11,0
2022-09-12,29369.2699555556
2022-09-13,0
2022-09-14,304738.64972043
2022-09-15,0
2022-09-16,175376.597614035
2022-09-17,0
2022-09-18,0
2022-09-19,67630.9181090909
2022-09-20,0
2022-09-21,225691.773589041
2022-09-22,0
2022-09-23,78251.5057440758
2022-09-24,0
2022-09-25,0
2022-09-26,56747.3802572271
2022-09-27,0
2022-09-28,223746.183414634
2022-09-29,0
2022-09-30,252903.214393574
2022-10-01,0
2022-10-02,187552.318008032
2022-10-03,0
2022-10-04,0
2022-10-05,35414.3334136201
2022-10-06,0
2022-10-07,0
2022-10-08,0
2022-10-09,0
2022-10-10,140967.760307692
2022-10-11,0
2022-10-12,389578.370940171
2022-10-13,0
2022-10-14,113234.825359477
2022-10-15,0
2022-10-16,0
2022-10-17,99329.9957059829
2022-10-18,0
2022-10-19,45847.2843240143
2022-10-20,0
2022-10-21,0
2022-10-22,0
2022-10-23,0
2022-10-24,135963.043242667
2022-10-25,0
2022-10-26,106880.447952593
2022-10-27,0
2022-10-28,144841.958774775
2022-10-29,0
2022-10-30,0
2022-10-31,0
2022-11-01,0
2022-11-02,89661.3149009763
2022-11-03,399461.868103627
2022-11-04,0
2022-11-05,0
2022-11-06,0
2022-11-07,12938.0943913978
2022-11-08,0
2022-11-09,98492.320905289
2022-11-10,0
2022-11-11,17015.5608677966
2022-11-12,0
2022-11-13,0
2022-11-14,122749.100679245
2022-11-15,0
2022-11-16,212580.572701031
2022-11-17,0
2022-11-18,302421.698448768
2022-11-19,0
2022-11-20,0
2022-11-21,277677.96323104
2022-11-22,0
2022-11-23,173493.794047619
2022-11-24,0
2022-11-25,188049.506684807
2022-11-26,0
2022-11-27,0
2022-11-28,293241.159316804
2022-11-29,0
2022-11-30,70571.8422771536
2022-12-01,0
2022-12-02,402409.447555556
2022-12-03,0
2022-12-04,0
2022-12-05,146667.906568935
2022-12-06,544294.664449438
2022-12-07,0
2022-12-08,0
2022-12-09,614820.384
2022-12-10,0
2022-12-11,0
2022-12-12,0
2022-12-13,0
2022-12-14,500680.409643836
2022-12-15,0
2022-12-16,503253.873626478
2022-12-17,0
2022-12-18,0
2022-12-19,488254.253696252
2022-12-20,0
2022-12-21,634271.007695238
2022-12-22,0
2022-12-23,471346.998438687
