"collection_date","N_Gene_gc_g_dry_weight"
2020-11-09,8751.43605146199
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,21776.8945841727
2020-12-05,0
2020-12-06,0
2020-12-07,16663.2312167832
2020-12-08,24627.0642800609
2020-12-09,52203.466227027
2020-12-10,24146.1701038002
2020-12-11,59047.9321804949
2020-12-12,54228.5863884058
2020-12-13,76086.6449400922
2020-12-14,16148.8118165485
2020-12-15,30637.6179520422
2020-12-16,34357.9244036317
2020-12-17,25095.6861837838
2020-12-18,22746.2439687356
2020-12-19,13082.4071718788
2020-12-20,16405.3427470899
2020-12-21,13815.8998588235
2020-12-22,23718.6596820084
2020-12-23,54916.642270415
2020-12-24,90815.1760467836
2020-12-25,32426.0150870451
2020-12-26,37684.3622283105
2020-12-27,19305.0045913043
2020-12-28,20171.7764125
2020-12-29,19944.74415958
2020-12-30,9435.30538666667
2020-12-31,82123.7824699454
2021-01-01,62059.1966368311
2021-01-02,25911.941892927
2021-01-03,39256.0395271868
2021-01-04,23113.6209351101
2021-01-05,37871.7323228109
2021-01-06,10762.8070453735
2021-01-07,34164.9499383417
2021-01-08,50679.1895086114
2021-01-09,50465.1308980226
2021-01-10,15976.2000197356
2021-01-11,49535.7485664289
2021-01-12,25687.6622823844
2021-01-13,16643.6967007455
2021-01-14,38589.3262955586
2021-01-15,68770.3055816092
2021-01-16,41048.8383976493
2021-01-17,34087.3211149185
2021-01-18,36984.8283131917
2021-01-19,0
2021-01-20,58259.4241509434
2021-01-21,77120.6862411348
2021-01-22,36017.0359268817
2021-01-23,26094.2404992908
2021-01-24,46831.8999279279
2021-01-25,38325.1146529328
2021-01-26,17338.0210482759
2021-01-27,10645.4393488621
2021-01-28,21477.6254276094
2021-01-29,7617.03339175902
2021-01-30,22073.3018250794
2021-01-31,14633.2308242881
2021-02-01,7304.359632978
2021-02-02,9065.24350566247
2021-02-03,54952.6180232968
2021-02-04,16215.6171966017
2021-02-05,33108.2823415282
2021-02-06,6084.0042158105
2021-02-07,63723.4864411532
2021-02-08,23866.3743755725
2021-02-09,21855.8730984562
2021-02-10,13822.9295319202
2021-02-11,11625.4706787907
2021-02-12,29972.1064315163
2021-02-13,5414.40233364787
2021-02-14,0
2021-02-15,5249.99368144737
2021-02-16,0
2021-02-17,0
2021-02-18,9719.91675240655
2021-02-19,7240.85653872054
2021-02-20,5426.5399993859
2021-02-21,10520.8253121693
2021-02-22,4876.63699131385
2021-02-23,11116.5298812691
2021-02-24,5486.45755783926
2021-02-25,15116.8101472282
2021-02-26,18636.4661919679
2021-02-27,30504.6708199777
2021-02-28,0
2021-03-01,15593.3153683736
2021-03-02,0
2021-03-03,0
2021-03-04,13854.2204874419
2021-03-05,13777.9433201465
2021-03-06,20612.0808939683
2021-03-07,0
2021-03-08,8849.37715871405
2021-03-09,13130.3733160594
2021-03-10,14261.3157712994
2021-03-11,7670.801767979
2021-03-12,1045.03610404372
2021-03-13,5564.28245843293
2021-03-14,1798.26641837235
2021-03-15,2787.96914635538
2021-03-16,1507.3743949004
2021-03-17,758.67369989418
2021-03-18,1272.8582976824
2021-03-19,7585.17018181818
2021-03-20,2308.12948917073
2021-03-21,0
2021-03-22,5338.27873601954
2021-03-23,6338.18643134937
2021-03-24,4239.30873308733
2021-03-25,6861.94880435374
2021-03-26,4517.66685202963
2021-03-27,6104.91787851852
2021-03-28,0
2021-03-29,18586.2554281787
2021-03-30,7385.91349662261
2021-03-31,9979.74788085106
2021-04-01,8525.02427338936
2021-04-02,0
2021-04-03,5022.56122366522
2021-04-04,0
2021-04-05,981.311437522769
2021-04-06,3323.70688082368
2021-04-07,5034.16414814815
2021-04-08,4590.97610928962
2021-04-09,6676.25463144654
2021-04-10,1697.08617801802
2021-04-11,5113.77115372907
2021-04-12,4154.36168037209
2021-04-13,6937.64529230769
2021-04-14,6521.73360231884
2021-04-15,1956.95711150066
2021-04-16,6646.9227348554
2021-04-17,4605.5433542029
2021-04-18,11495.8215763314
2021-04-19,4814.50084145078
2021-04-20,6912.72609017981
2021-04-21,4590.43676891022
2021-04-22,2386.03225333333
2021-04-23,4342.5859503485
2021-04-24,3697.0744897668
2021-04-25,7013.07560654088
2021-04-26,2019.74598100107
2021-04-27,5800.92699856115
2021-04-28,2874.80117560284
2021-04-29,3041.03848854569
2021-04-30,2568.30671295597
2021-05-01,2443.05984327485
2021-05-02,3472.30461607098
2021-05-03,6326.37727938343
2021-05-04,2295.16600380952
2021-05-05,1460.87519772242
2021-05-06,883.132181972534
2021-05-07,1015.85298937853
2021-05-08,2089.17273073593
2021-05-09,0
2021-05-10,1439.40725978295
2021-05-11,1282.21455679623
2021-05-12,0
2021-05-13,1813.06578193362
2021-05-14,2621.14599564409
2021-05-15,2325.24717387315
2021-05-16,2877.11885244444
2021-05-17,1703.36480173913
2021-05-18,1405.77181233083
2021-05-19,2884.88446164875
2021-05-20,1002.90047065073
2021-05-21,3843.94025991561
2021-05-22,3710.30493791483
2021-05-23,3087.91244930612
2021-05-24,1016.02893224932
2021-05-25,1890.69749063779
2021-05-26,1634.07527402985
2021-05-27,2553.6045534143
2021-05-28,2166.64074171589
2021-05-29,3527.31765140272
2021-05-30,3295.37642282406
2021-05-31,2428.12130721088
2021-06-01,7412.30435983936
2021-06-02,1712.73294967062
2021-06-03,2547.37671684044
2021-06-04,2740.32248946939
2021-06-05,977.589911297071
2021-06-06,0
2021-06-07,15836.4632560224
2021-06-08,1591.95803030303
2021-06-09,2518.88595870206
2021-06-10,2344.90055181939
2021-06-11,1598.83410032885
2021-06-12,1917.45732874811
2021-06-13,1732.12067212851
2021-06-14,2337.80362601227
2021-06-15,0
2021-06-16,932.609519911407
2021-06-17,1934.67527281673
2021-06-18,1247.66023340502
2021-06-19,0
2021-06-20,1567.06134205451
2021-06-21,693.854487272727
2021-06-22,2035.07893722983
2021-06-23,1686.23331004695
2021-06-24,2928.19298974359
2021-06-25,2890.10489512028
2021-06-26,22305.3926188679
2021-06-27,11294.8851876423
2021-06-28,18391.6505009416
2021-06-29,8443.96818224456
2021-06-30,12679.3412444444
2021-07-01,14515.6620677138
2021-07-02,13661.9060674157
2021-07-03,10919.6135515152
2021-07-04,11259.8344865801
2021-07-05,7493.7210546003
2021-07-06,5935.18161006289
2021-07-07,8705.98661538462
2021-07-08,14037.474386846
2021-07-09,13376.2839480084
2021-07-10,22431.6491022222
2021-07-11,24886.3173272727
2021-07-12,13493.4529471264
2021-07-13,20658.503819209
2021-07-14,22485.4332678363
2021-07-15,123352.507233211
2021-07-16,124712.722330532
2021-07-17,14787.1580849348
2021-07-18,21749.9167231638
2021-07-19,34210.0407292517
2021-07-20,17610.9937761006
2021-07-21,7101.18565410628
2021-07-22,33063.3160807746
2021-07-23,8309.68055555555
2021-07-24,11249.1188367816
2021-07-25,34816.5035264368
2021-07-26,34626.7449810017
2021-07-27,10273.1855092669
2021-07-28,36480.2439673254
2021-07-29,29197.3914432935
2021-07-30,83499.2000974125
2021-07-31,72017.1831292517
2021-08-01,38716.1549293924
2021-08-02,36810.8103666667
2021-08-03,74813.262284058
2021-08-04,68265.8024032922
2021-08-05,0
2021-08-06,18358.3133144981
2021-08-07,39987.4652459384
2021-08-08,193484.480645161
2021-08-09,62342.7356594377
2021-08-10,160287.603870207
2021-08-11,145554.149997628
2021-08-12,51017.8434482759
2021-08-13,33937.8277466667
2021-08-14,84369.3485985185
2021-08-15,86844.6963809524
2021-08-16,126983.79304142
2021-08-17,0
2021-08-18,78946.568627451
2021-08-19,40175.1372190476
2021-08-20,77539.3733105413
2021-08-21,40081.8055941263
2021-08-22,93452.2899537954
2021-08-23,72483.6402212518
2021-08-24,69102.0767376624
2021-08-25,124649.738789981
2021-08-26,31560.9819392996
2021-08-27,166736.438507177
2021-08-28,57421.7047439199
2021-08-29,43592.3612064171
2021-08-30,37473.278955102
2021-08-31,22221.9449481481
2021-09-01,281744.373567766
2021-09-02,55506.9795424354
2021-09-03,23183.7658666667
2021-09-04,22622.7508359613
2021-09-05,101025.418138138
2021-09-06,29924.3674531889
2021-09-07,25546.4401393838
2021-09-08,45208.3899572327
2021-09-09,51280.6586499486
2021-09-10,26713.874121697
2021-09-11,51664.6749803922
2021-09-12,51825.9196590563
2021-09-13,32860.4138297578
2021-09-14,41527.0399609756
2021-09-15,0
2021-09-16,12687.5445034667
2021-09-17,26520.6751850365
2021-09-18,25671.9497533945
2021-09-19,26397.8867319728
2021-09-20,8783.46286451613
2021-09-21,9570.16700717949
2021-09-22,13334.4965666667
2021-09-23,15758.8527676768
2021-09-24,27537.8217846154
2021-09-25,40595.8787884774
2021-09-26,46399.4202190476
2021-09-27,42628.3142574424
2021-09-28,49230.1169661202
2021-09-29,37774.8162059406
2021-09-30,28017.1952585366
2021-10-01,46348.8713282051
2021-10-02,43136.4118962233
2021-10-03,62861.5948888989
2021-10-04,14863.2979489097
2021-10-05,24599.5184866995
2021-10-06,21579.6160911681
2021-10-07,0
2021-10-08,51471.9043663162
2021-10-09,17198.4386952919
2021-10-10,67715.8883277407
2021-10-11,16374.6013806854
2021-10-12,16469.0572528302
2021-10-13,16015.2117433962
2021-10-14,19507.044009697
2021-10-15,8990.42962868526
2021-10-16,16304.6907668122
2021-10-17,47659.6641973033
2021-10-18,7885.05914810811
2021-10-19,12104.0114974359
2021-10-20,17471.5232853333
2021-10-21,9673.67305426357
2021-10-22,14874.3411170507
2021-10-23,9164.32837777778
2021-10-24,13934.278737133
2021-10-25,14238.0769981785
2021-10-26,15591.1131299435
2021-10-27,55237.2021632959
2021-10-28,23856.8175058824
2021-10-29,23148.3743267525
2021-10-30,24810.8413047081
2021-10-31,22603.9586549266
2021-11-01,12121.1343927602
2021-11-02,15188.5536155718
2021-11-03,15142.8120753181
2021-11-04,17091.7588050919
2021-11-05,22628.0224787724
2021-11-06,20759.1905184319
2021-11-07,29529.2987744995
2021-11-08,33237.4827093333
2021-11-09,27362.0684952381
2021-11-10,65593.7681658692
2021-11-11,36243.4646726531
2021-11-12,22404.1787015075
2021-11-13,24165.0145190698
2021-11-14,18861.4612382151
2021-11-15,7989.54107897436
2021-11-16,15519.3138666667
2021-11-17,59458.5920424967
2021-11-18,13103.5376528926
2021-11-19,15521.4719954416
2021-11-20,16162.7307443995
2021-11-21,19674.4906191794
2021-11-22,52373.5682339181
2021-11-23,12885.3159209877
2021-11-24,59016.9010219462
2021-11-25,0
2021-11-26,14258.9540003691
2021-11-27,46917.1182660098
2021-11-28,114342.217899782
2021-11-29,64760.4745176909
2021-11-30,45155.2569888889
2021-12-01,65161.0028088889
2021-12-02,49941.8164444445
2021-12-03,41995.1573124638
2021-12-04,29930.8609079432
2021-12-05,41138.8766127849
2021-12-06,36782.4050079289
2021-12-07,42249.7138457516
2021-12-08,38853.9298981077
2021-12-09,30397.2379280236
2021-12-10,47873.5682608069
2021-12-11,44676.742168388
2021-12-12,46513.1774429203
2021-12-13,64357.8169442283
2021-12-14,45660.359512381
2021-12-15,36833.999596748
2021-12-16,11098.0005245902
2021-12-17,96817.1814320988
2021-12-18,157597.359640449
2021-12-19,64107.4678872305
2021-12-20,194647.725401709
2021-12-21,199730.4408
2021-12-22,81549.777962482
2021-12-23,158288.094867257
2021-12-24,239151.919647577
2021-12-25,0
2021-12-26,111823.975447732
2021-12-27,198757.763975155
2021-12-28,414533.965244866
2021-12-29,131831.396923077
2021-12-30,158383.838383838
2021-12-31,300176.991150442
2022-01-01,0
2022-01-02,345895.953757225
2022-01-03,784888.888888889
2022-01-04,367259.005130604
2022-01-05,339870.572830189
2022-01-06,818227.132386156
2022-01-07,458666.666666667
2022-01-08,1014949.4949495
2022-01-09,617422.526512074
2022-01-10,811046.011056911
2022-01-11,595772.072188552
2022-01-12,0
2022-01-13,305511.444512821
2022-01-14,0
2022-01-15,509004.972403101
2022-01-16,377345.964035651
2022-01-17,324491.228070175
2022-01-18,487111.111111111
2022-01-19,226860.342679612
2022-01-20,200359.292717949
2022-01-21,177601.911676301
2022-01-22,384796.246911725
2022-01-23,140329.070713209
2022-01-24,86249.8835649123
2022-01-25,156744.171402299
2022-01-26,234372.345235772
2022-01-27,169094.35815873
2022-01-28,169318.392163231
2022-01-29,92262.3776164103
2022-01-30,237747.424986304
2022-01-31,0
2022-02-01,99511.4582373984
2022-02-02,139412.836435088
2022-02-03,98276.1177921147
2022-02-04,117424.093693694
2022-02-05,54405.3334857143
2022-02-06,60252.965903876
2022-02-07,53523.9356144578
2022-02-08,82851.6271490787
2022-02-09,55150.4268403101
2022-02-10,34889.8159541219
2022-02-11,73804.0995017994
2022-02-12,15142.1390002287
2022-02-13,37099.687043611
2022-02-14,99036.3925333333
2022-02-15,154066.672683761
2022-02-16,0
2022-02-17,144067.643174603
2022-02-18,71498.1049357336
2022-02-19,71081.2163635357
2022-02-20,32810.8272197083
2022-02-21,11869.0826398231
2022-02-22,12349.3517731123
2022-02-23,25374.4814103704
2022-02-24,67041.0517766498
2022-02-25,40528.1360332782
2022-02-26,45910.6274800745
2022-02-27,58337.5151160977
2022-02-28,0
2022-03-01,43718.7159525926
2022-03-02,46746.3684077037
2022-03-03,85043.1696533333
2022-03-04,119662.868322702
2022-03-05,46006.7445955952
2022-03-06,356848.484848485
2022-03-07,69550.8095051852
2022-03-08,36477.1923690877
2022-03-09,28930.0524475634
2022-03-10,47597.1566333333
2022-03-11,13115.9068809615
2022-03-12,41689.1469364673
2022-03-13,16805.4416615476
2022-03-14,39989.1327785595
2022-03-15,29160.1731601732
2022-03-16,20949.8457286669
2022-03-17,22522.5375567568
2022-03-18,122652.701020062
2022-03-19,40757.7269884194
2022-03-20,8167.47589387757
2022-03-21,30605.6982594417
2022-03-22,17281.4166895623
2022-03-23,12661.6709903564
2022-03-24,14654.0226323432
2022-03-25,17165.7147269177
2022-03-26,27497.520448
2022-03-27,96774.7303897533
2022-03-28,13823.4195528205
2022-03-29,83035.8523921569
2022-03-30,49906.9713695568
