"collection_date","N_Gene_gc_g_dry_weight"
2020-11-30,46003.057939394
2020-12-01,46509.9304566929
2020-12-02,30105.6990975255
2020-12-03,119183.051178352
2020-12-04,65765.043164592
2020-12-05,96388.5975510204
2020-12-06,48843.7362526316
2020-12-07,88107.3111650692
2020-12-08,54680.8254792453
2020-12-09,41727.5632892348
2020-12-10,111673.440740136
2020-12-11,50122.1414556575
2020-12-12,107911.711921856
2020-12-13,160573.087007752
2020-12-14,96414.9330298103
2020-12-15,115365.275906519
2020-12-16,96405.1482014388
2020-12-17,142224.959755725
2020-12-18,229803.412304762
2020-12-19,150818.916511199
2020-12-20,184819.136882494
2020-12-21,46262.3844336043
2020-12-22,135224.901772999
2020-12-23,98122.0360727273
2020-12-24,244077.456078049
2020-12-25,519306.647870778
2020-12-26,232531.347927649
2020-12-27,41097.813357037
2020-12-28,390803.8144
2020-12-29,71278.573571205
2020-12-30,147616.03620339
2020-12-31,510542.127881482
2021-01-01,103155.781241024
2021-01-02,102806.188622299
2021-01-03,0
2021-01-04,109057.343121871
2021-01-05,37976.8234918422
2021-01-06,32926.0002906625
2021-01-07,226915.928355434
2021-01-08,37281.1411763286
2021-01-09,26850.0123211852
2021-01-10,0
2021-01-11,142559.291528092
2021-01-12,101699.516256019
2021-01-13,81424.2382126162
2021-01-14,110892.550969158
2021-01-15,95347.1052112332
2021-01-16,124847.647188758
2021-01-17,0
2021-01-18,0
2021-01-19,63183.7194337194
2021-01-20,42004.5357262357
2021-01-21,85529.2287356322
2021-01-22,73240.0725442177
2021-01-23,85077.5989253731
2021-01-24,46200.7291340996
2021-01-25,61378.7724346764
2021-01-26,39081.1295806061
2021-01-27,55422.7829166667
2021-01-28,75031.3642578875
2021-01-29,99547.7839033734
2021-01-30,64853.3042502288
2021-01-31,71176.1576705896
2021-02-01,154413.691738196
2021-02-02,66012.0448095651
2021-02-03,83588.3924696183
2021-02-04,50101.5540881034
2021-02-05,26338.856324531
2021-02-06,28909.2940845709
2021-02-07,45622.4342628762
2021-02-08,58280.944828479
2021-02-09,70842.189875912
2021-02-10,27123.9892030374
2021-02-11,47027.0619015775
2021-02-12,98222.9162145547
2021-02-13,20859.2941267825
2021-02-14,31053.4532259129
2021-02-15,6306.59077159793
2021-02-16,32699.2384442033
2021-02-17,18758.569531052
2021-02-18,20701.388843724
2021-02-19,15910.1856904594
2021-02-20,9523.49808580596
2021-02-21,17501.1401251701
2021-02-22,13894.6856100728
2021-02-23,20307.5501525286
2021-02-24,14006.5864526316
2021-02-25,32657.9508155283
2021-02-26,108716.125488282
2021-02-27,29500.714397739
2021-02-28,12137.5382919455
2021-03-01,22277.624518783
2021-03-02,13566.4759272727
2021-03-03,12239.6310994975
